O0020064	既存固定污染源污染物排放量認可準則	空氣噪音目	Approval Guidelines for Pollutant Emission Amounts of Existing Stationary Pollution Sources
O0020126	三級防制區既存固定污染源應削減污染物排放量準則	空氣噪音目	Guidelines for Pollutant Emission Reduction by Existing Stationary Pollution Sources in Class III Control Areas
O0030015	機動車輛噪音驗證核可準則	空氣噪音目	Guidelines for Verification and Approval of Motor Vehicle Noise
O0040050	飲用水水質處理藥劑申請公告作業準則	水質保護目	Operational Guidelines for Application and Announcement of Drinking Water Treatment Chemicals
O0040051	飲用水水源水質或淨水處理改善計畫審核準則	水質保護目	Guidelines for Review of Drinking Water Source Quality or Water Treatment Improvement Plans
O0020143	氣候變遷風險評估作業準則	氣候變遷目	Guidelines for Climate Change Risk Assessment
O0060023	環境用藥原體轉讓申請作業準則	化學物質環境用藥目	Operational Guidelines for Application for Transfer of Environmental Agent Technical Materials
O0060026	環境用藥專供輸出申請作業準則	化學物質環境用藥目	Operational Guidelines for Application for Environmental Agents Exclusively for Export
O0060027	環境用藥專供試驗研究教育示範專案防治或登記用申請作業準則	化學物質環境用藥目	Operational Guidelines for Application for Environmental Agents Exclusively for Testing, Research, Education, Demonstration Projects, Pest Control, or Registration
O0060028	環境用藥許可證申請核發作業準則	化學物質環境用藥目	Operational Guidelines for Application and Issuance of Environmental Agent Permits
O0060029	環境用藥分裝調配及委託製造作業準則	化學物質環境用藥目	Operational Guidelines for Repackaging, Formulation, and Contract Manufacturing of Environmental Agents
O0060030	環境用藥標示準則	化學物質環境用藥目	Labeling Guidelines for Environmental Agents
O0060032	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	化學物質環境用藥目	Operational Guidelines for Application and Issuance of Permits for Environmental Agent Retailers and Pest Control Operators
O0060034	毒性及關注化學物質事故調查處理報告作業準則	化學物質環境用藥目	Operational Guidelines for Investigation and Reporting of Toxic and Concerned Chemical Substance Incidents
O0110016	土壤底泥及地下水污染物檢驗測定品質管制準則	土壤地下水及環管目	Quality Control Guidelines for Testing of Soil, Sediment, and Groundwater Pollutants
O0110019	辦理土壤及地下水污染場址整治目標公聽會作業準則	土壤地下水及環管目	Operational Guidelines for Public Hearings on Remediation Goals for Soil and Groundwater Pollution Sites
