level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch4_d	7	OSH-11	職業安全衛生教育訓練規則	第3條附表一	42	甲種職業安全衛生業務主管安全衛生教育訓練之時數為幾小時？	四十二小時
B	batch4_d	8	OSH-11	職業安全衛生教育訓練規則	第3條附表一	21;35	乙種及丙種職業安全衛生業務主管教育訓練之時數各為幾小時？	三十五小時；二十一小時
B	batch4_d	9	OSH-11	職業安全衛生教育訓練規則	第3條附表一	6	丁種職業安全衛生業務主管教育訓練之時數為幾小時？	六小時
B	batch4_d	10	OSH-11	職業安全衛生教育訓練規則	第10條附表八	18	擋土支撐、模板支撐、施工架組配、屋頂作業等營造作業主管之安全衛生教育訓練時數為幾	十八小時
B	batch4_d	11	OSH-11	職業安全衛生教育訓練規則	第11條附表九	18;36	有機溶劑、缺氧、特定化學物質等有害作業主管之教育訓練時數為幾小時？潛水作業主管為	十八小時；三十六小時
B	batch4_d	12	OSH-11	職業安全衛生教育訓練規則	第12條附表十	38	吊升荷重三公噸以上之固定式起重機、移動式起重機及人字臂起重桿操作人員之教育訓練時	三十八小時
B	batch4_d	13	OSH-11	職業安全衛生教育訓練規則	第12條附表十	21;26	吊籠操作人員與營建用提升機操作人員之教育訓練時數各為幾小時？	二十六小時；二十一小時
B	batch4_d	14	OSH-11	職業安全衛生教育訓練規則	第9條附表七	22	高壓氣體製造安全主任之安全衛生教育訓練時數為幾小時？	二十二小時
A	batch4_d	15	OSH-10	勞工健康保護規則	第2條附表一	85	勞工噪音暴露工作日八小時日時量平均音壓級在多少分貝以上之噪音作業，屬特別危害健康	八十五分貝
B	batch4_d	18	OSH-10	勞工健康保護規則	第3條附表二	1	第一類事業勞工人數三百人至九百九十九人者，從事勞工健康服務之醫師臨場服務頻率為何	每月一次；三小時
B	batch4_d	19	OSH-10	勞工健康保護規則	第3條附表二	1	從事特別危害健康作業勞工人數在一百人以上者，職業醫學科專科醫師臨場服務頻率為何？	每月一次；每四個月一次
B	batch4_d	20	OSH-10	勞工健康保護規則	第3條附表三	1	事業單位勞工人數三百人至九百九十九人且特別危害健康作業勞工未達一百人者，應僱用護	一人；三人
A	batch4_d	21	OSH-10	勞工健康保護規則	第3條附表三	6000	依附表三，事業單位設置護理人員數達幾人以上者，得置護理主管一人？勞工人數超過六千	三人；六千人
B	batch5_a	6	OSH-03	勞動檢查法	第14條	30000;150000	勞動檢查員為執行檢查職務得隨時進入事業單位，雇主或有關人員無故拒絕、規避或妨礙者	新臺幣三萬元以上十五萬元以下罰鍰，並得按次處罰
A	batch5_c	7	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第2條附表一	220	雇主不得使未滿十八歲者從事之工作，下列何者屬之？	坑內工作、處理爆炸性易燃性物質、鉛汞鉻砷等有害物散布場所、有害輻射、有害粉塵、運轉中機器危險部分之掃除上油、超過二百二十
A	batch5_c	8	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第2條附表一	25	十六歲以上未滿十八歲之勞工從事重物處理作業，斷續性作業及持續性作業之重量規定值各	二十五公斤；十五公斤
A	batch5_c	10	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第3條附表二	6;10	妊娠中之女性勞工從事重物處理作業，斷續性作業及持續性作業之規定值各為多少公斤？	十公斤；六公斤
B	batch5_c	11	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第4條附表三	1	雇主不得使分娩後未滿一年之女性勞工從事之工作，下列何者屬之？	礦坑工作、鉛及其化合物散布場所、鑿岩機等顯著振動、一定重量以上重物處理
B	batch5_c	19	OSH-16	精密作業勞工視機能保護設施標準	第9條	30	從事精密作業連續作業二小時，應給予勞工至少幾分鐘休息？眼球與工作點之距離應保持約	十五分鐘；三十公分
B	batch5_d	24	OSH-37	性別平等工作法	第36條	20000;300000	雇主不得因受僱者提出本法之申訴或協助他人申訴而為何種處分？違反者處罰為何？	解僱、調職或其他不利處分；處二萬元以上三十萬元以下罰鍰並公布名稱、限期改善
B	batch6_b	6	OSH-44	鍋爐及壓力容器安全規則	第12條	1.2;2	鍋爐及其金屬製煙囪或煙道未裝設厚度十公分以上非金屬不燃材料被覆者，其外側幾公分內	十五公分；一點二公尺及二公尺
B	batch6_b	26	OSH-46	碼頭裝卸安全衛生設施標準	第8條	1	港區裝卸作業場所及陸上通道接近開口邊緣斷裂處等危險部分，應設置高度幾公分以上之欄	七十五公分；一公尺
B	batch6_c	14	OSH-42	起重升降機具安全規則	第65條	4;5	起重機具吊掛用鋼索之安全係數應在多少以上？吊鉤？馬鞍環？	六以上；四以上；五以上
B	batch6_c	27	OSH-50	特定化學物質危害預防標準	第27條	2	製造處置或使用丙類第一種或丁類物質合計在多少公升以上之特定化學管理設備，應設置溫	一百公升（氣體以一立方公尺換算為二公升）；置監視人於運轉中監視
B	batch6_c	32	OSH-50	特定化學物質危害預防標準	第38條	12	特定化學物質作業局部排氣裝置設計之專業人員，應接受在職教育訓練每三年不得低於幾小	十二小時；十年
