batch1_a #7 [en] 第3條 | 本法所稱中央主管機關為何？ | 正確最短 17 vs 24
batch1_b #10 [zh] 第22-2條 | 雇主因接獲被霸凌勞工申訴而知悉時，對申訴事件 | 正確最短 5 vs 9
batch1_b #10 [en] 第22-2條 | 雇主因接獲被霸凌勞工申訴而知悉時，對申訴事件 | 正確最短 32 vs 41
batch1_b #30 [en] 第30條 | 依本法第30條第1項，雇主不得使妊娠中之女性 | 正確最短 28 vs 36
batch1_b #41 [zh] 第37條 | 事業單位工作場所發生職業災害，雇主應即採取急 | 正確最短 4 vs 6
batch1_b #42 [zh] 第37條 | 事業單位勞動場所發生死亡災害時，雇主應於幾小 | 正確最短 3 vs 5
batch1_c #26 [zh] 第23條 | 下列何者屬施行細則第23條所列具有危險性之設 | 正確最短 2 vs 3
batch1_c #26 [en] 第23條 | 下列何者屬施行細則第23條所列具有危險性之設 | 正確最短 6 vs 11
batch1_c #34 [zh] 第33條 | 下列何者不屬施行細則第33條所稱之安全衛生人 | 正確最短 5 vs 7
batch1_c #34 [en] 第33條 | 下列何者不屬施行細則第33條所稱之安全衛生人 | 正確最短 15 vs 23
batch2_a #7 [en] 第19-1條 | 設施規則所稱「局限空間」之定義，不包括下列何 | 正確最短 27 vs 34
batch2_a #30 [en] 第56條 | 對於鑽孔機、截角機等旋轉刃具作業，勞工手指有 | 正確最短 6 vs 8
batch2_a #49 [zh] 第108條 | 高壓氣體貯存，可燃性氣體、有毒性氣體及氧氣之 | 正確最短 5 vs 8
batch2_a #50 [en] 第116條 | 車輛系營建機械及堆高機，除乘坐席位外，於作業 | 正確最短 2 vs 18
batch2_b #29 [en] 第226條 | 高度二公尺以上之作業場所遇強風、大雨等惡劣氣 | 正確最短 13 vs 21
batch2_b #54 [zh] 第287-1條 | 使勞工使用輸氣管面罩呼吸防護具時，應避免使用 | 正確最短 2 vs 4
batch2_b #75 [zh] 第326-1條 | 自營作業者獨立作業或以其作業交付承攬時，是否 | 正確最短 2 vs 3
batch2_c #29 [en] 第47條 | 雇主得否使勞工在施工架上使用梯子、合梯或踏凳 | 正確最短 2 vs 3
batch3_a #5 [zh] 第5條 | 從事缺氧危險作業時應適當換氣，保持氧氣濃度在 | 正確最短 2 vs 4
batch3_a #12 [zh] 第20條 | 雇主使勞工從事缺氧危險作業時，應於每一班次指 | 正確最短 6 vs 8
batch3_a #31 [zh] 第5條 | 重工作之時量平均綜合溫度熱指數達攝氏 25. | 正確最短 4 vs 11
batch3_a #31 [en] 第5條 | 重工作之時量平均綜合溫度熱指數達攝氏 25. | 正確最短 15 vs 19
batch3_b #35 [zh] 第57條 | 使用水肺從事潛水作業時，除攜帶水中計時器、深 | 正確最短 3 vs 4
batch3_b #42 [zh] 第5條 | 裝有危害性化學品之容器，應標示之事項不包括下 | 正確最短 2 vs 4
batch3_b #42 [en] 第5條 | 裝有危害性化學品之容器，應標示之事項不包括下 | 正確最短 5 vs 16
batch3_c #14 [en] 第8條 | 身體虛弱經醫師診斷認為身體狀況不良之勞工，雇 | 正確最短 2 vs 3
batch4_a #51 [en] 第42條 | 雇主對異常氣壓之再壓室或減壓艙，應每多久定期 | 正確最短 5 vs 7
batch4_b #3 [zh] 第5條 | 雇主對擔任職業安全管理師、職業衛生管理師及職 | 正確最短 2 vs 4
batch5_d #29 [zh] 第5條 | 性別平等工作法第13條、第19條及第23條所 | 正確最短 2 vs 3
batch6_a #24 [en] 第14條 | 設置第6條規定設施顯有困難時，雇主得向何機關 | 正確最短 102 vs 114
batch8_b #3 [en] 第8條 | 公告場所所有人管理人或使用人應辦理何事項？ | 正確最短 168 vs 184
batch8_d #3 [en] 第17條 | 污染行為人有何情形時，地方主管機關得依土污法 | 正確最短 198 vs 214
