batch10_c2 #22 [zh] 第57條 | 本法所定屆期未補正或完成改善之按次處罰，其限 | 正確最短 9 vs 14
batch10_c2 #22 [en] 第57條 | 本法所定屆期未補正或完成改善之按次處罰，其限 | 正確最短 31 vs 46
batch10_c2 #24 [zh] 第58條 | 同一事業設置數放流口，或數事業共同設置廢水處 | 正確最短 5 vs 8
batch10_c2 #49 [en] 第74條 | 水污染防治法施行細則由何機關訂定？ | 正確最短 31 vs 44
batch10_c2 #50 [zh] 第75條 | 水污染防治法之施行日期規定為何？ | 正確最短 6 vs 8
batch10_e2 #33 [zh] 第65條 | 依本法所處之罰鍰拒不繳納者，應如何處理？ | 正確最短 6 vs 8
batch10_e2 #46 [zh] 第75條 | 廢棄物檢測方法及品質管制事項，由何機關訂定？ | 正確最短 9 vs 13
batch10_e2 #46 [en] 第75條 | 廢棄物檢測方法及品質管制事項，由何機關訂定？ | 正確最短 31 vs 40
batch10_e2 #47 [zh] 第76條 | 本法施行細則由何機關訂定？ | 正確最短 9 vs 13
batch10_e2 #47 [en] 第76條 | 本法施行細則由何機關訂定？ | 正確最短 31 vs 40
batch10_e3 #56 [zh] 第45條 | 本標準所稱之標誌，由何機關公告？ | 正確最短 10 vs 14
batch10_e3 #56 [en] 第45條 | 本標準所稱之標誌，由何機關公告？ | 正確最短 31 vs 40
batch10_e3 #57 [zh] 第46條 | 本標準之施行日期為何？ | 正確最短 6 vs 8
batch10_e4 #31 [zh] 第31條 | 再生資源屬依廢棄物清理法公告之應回收廢棄物者 | 正確最短 12 vs 20
batch10_e4 #31 [en] 第31條 | 再生資源屬依廢棄物清理法公告之應回收廢棄物者 | 正確最短 40 vs 60
batch10_e4 #33 [zh] 第33條 | 事業自願提供物品或其包裝、容器之源頭減量、重 | 正確最短 13 vs 18
batch10_e4 #48 [zh] 第48條 | 依本法所定罰鍰裁罰基準等相關事項之準則，由何 | 正確最短 9 vs 14
batch10_e4 #48 [en] 第48條 | 依本法所定罰鍰裁罰基準等相關事項之準則，由何 | 正確最短 31 vs 45
batch10_e4 #51 [zh] 第51條 | 本法施行細則由何機關訂定？ | 正確最短 9 vs 13
batch10_e4 #51 [en] 第51條 | 本法施行細則由何機關訂定？ | 正確最短 31 vs 40
batch10_f2 #48 [zh] 第68條 | 本法施行細則之訂定機關為何？ | 正確最短 9 vs 14
batch10_f2 #48 [en] 第68條 | 本法施行細則之訂定機關為何？ | 正確最短 31 vs 45
batch10_f3 #51 [zh] 第42條 | 犯本法之罪者，其所生或所得之物及所用之物應如 | 正確最短 3 vs 4
batch10_f3 #54 [zh] 第45條 | 本法施行細則之訂定機關為何？ | 正確最短 9 vs 14
batch10_f3 #54 [en] 第45條 | 本法施行細則之訂定機關為何？ | 正確最短 31 vs 45
batch10_f4 #19 [zh] 第13條 | 緩衝區及永續利用區申請許可之條件、作業程序及 | 正確最短 9 vs 14
batch10_f4 #19 [en] 第13條 | 緩衝區及永續利用區申請許可之條件、作業程序及 | 正確最短 31 vs 45
batch10_f4 #42 [zh] 第30條 | 本法施行細則之訂定機關為何？ | 正確最短 9 vs 14
batch10_f4 #42 [en] 第30條 | 本法施行細則之訂定機關為何？ | 正確最短 31 vs 45
batch10_g1 #19 [en] 第14條 | 逸失或生存於野外之非臺灣地區原產動物，如有影 | 正確最短 113 vs 125
batch10_h2 #40 [en] 第53條 | 本法哪些條文對於本法施行前已發生土壤或地下水 | 正確最短 105 vs 132
batch10_h2 #43 [en] 第56條 | 本法施行細則由何機關定之？ | 正確最短 31 vs 43
batch10_h4 #40 [en] 第74條 | 本法施行細則由何機關定之？ | 正確最短 31 vs 44
batch10_i1 #14 [en] 第8條 | 依第8條第2項，「公正轉型之推動事項」及「溫 | 正確最短 89 vs 103
batch10_i1 #28 [en] 第19條 | 中央目的事業主管機關就易受氣候變遷衝擊之權責 | 正確最短 74 vs 87
batch10_i2 #46 [zh] 第63條 | 本法之施行日期為何？ | 正確最短 6 vs 8
batch11_a6 #25 [zh] 第316條 | 工作場所之底板、周圍牆壁、容器等有被生物病原 | 正確最短 6 vs 8
batch11_d1 #5 [en] 第7條 | 營造工程用之模板、施工架等材料拆除後，對於凸 | 正確最短 76 vs 88
batch11_g3 #38 [en] 第46條 | 本法第七十四條第一項規定之申訴，得以何種方式 | 正確最短 27 vs 34
batch11_g3 #47 [zh] 第51條 | 勞動基準法施行細則之施行日期為何？ | 正確最短 9 vs 12
batch11_g4 #27 [en] 第39條 | 性別平等工作法施行細則之訂定機關為何？ | 正確最短 31 vs 41
batch11_g4 #37 [zh] 第6條 | 本法第十五條第一項規定產假期間之計算，應如何 | 正確最短 7 vs 10
batch9_c1 #25 [en] 第25條 | 一般廢棄物採焚化處理以外之熱處理法者，其設施 | 正確最短 54 vs 80
batch9_c1 #37 [zh] 第38條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c2 #32 [zh] 第24條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c3 #9 [zh] 第17條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c3 #21 [zh] 第19條 | 本細則之施行日期規定為何？ | 正確最短 9 vs 12
batch9_c4 #29 [zh] 第38條 | 本細則之施行日期規定為何？ | 正確最短 9 vs 12
batch9_d10 #26 [en] 第56條 | 各級主管機關依本法應收取之規費標準，由何機關 | 正確最短 31 vs 41
batch9_d10 #29 [en] 第59條 | 環境用藥管理法之施行細則，由何機關訂定？ | 正確最短 31 vs 42
batch9_d10 #30 [zh] 第60條 | 環境用藥管理法之施行日期規定為何？ | 正確最短 6 vs 9
batch9_d2 #23 [zh] 第53條 | 開發行為應實施環境影響評估細目及範圍認定標準 | 正確最短 6 vs 10
batch9_d4 #2 [en] 第1條 | 政府政策環境影響評估作業辦法之訂定依據為何？ | 正確最短 53 vs 65
batch9_d4 #10 [zh] 第9條 | 政府政策環境影響評估作業辦法之施行日期規定為 | 正確最短 6 vs 9
batch9_d6 #24 [zh] 第23條 | 毒性及關注化學物質許可登記核可管理辦法之施行 | 正確最短 6 vs 16
