batch12_a1 #9 [zh] 第9條 | 違反環境影響評估法按日連續處罰執行準則之施行 | 正確最短 6 vs 10
batch12_a1 #9 [en] 第9條 | 違反環境影響評估法按日連續處罰執行準則之施行 | 正確最短 27 vs 34
batch12_a2 #16 [zh] 第14條 | 公私場所固定污染源申請改善排放空氣污染物總量 | 正確最短 6 vs 8
batch12_a2 #30 [zh] 第11條 | 本辦法所定之相關格式，應由何機關定之？ | 正確最短 6 vs 8
batch12_a2 #33 [zh] 第14條 | 公私場所固定污染源空氣污染物排放量申報管理辦 | 正確最短 6 vs 8
batch12_a2 #50 [zh] 第17條 | 公私場所固定污染源復工試車評鑑及管理辦法之施 | 正確最短 6 vs 8
batch12_a3 #8 [zh] 第6條 | 公私場所固定污染源違反空氣污染防制法應處罰鍰 | 正確最短 6 vs 8
batch12_a3 #46 [zh] 第12條 | 加油站油氣回收設施管理辦法之施行日期為何？ | 正確最短 6 vs 8
batch12_a4 #15 [zh] 第8條 | 半導體製造業空氣污染管制及排放標準之施行日期 | 正確最短 6 vs 9
batch12_a4 #44 [zh] 第11條 | 汽車製造業表面塗裝作業空氣污染物排放標準之施 | 正確最短 6 vs 8
batch12_b1 #19 [zh] 第16條 | 本辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch12_c1 #30 [zh] 第23條 | 氟氯烴管理辦法之施行日期規定為何？ | 正確最短 9 vs 12
batch12_c2 #42 [zh] 第7條 | 移動污染源空氣污染防制設備管理辦法之施行日期 | 正確最短 9 vs 12
batch12_c3 #13 [zh] 第11條 | 乾洗作業空氣污染防制設施管制標準之施行日期為 | 正確最短 10 vs 13
batch12_c3 #32 [zh] 第5條 | 移動污染源違反空氣污染防制法裁罰準則之施行日 | 正確最短 9 vs 12
batch12_c4 #18 [zh] 第18條 | 移動污染源燃料販賣進口許可及管理辦法之施行日 | 正確最短 9 vs 12
batch12_c4 #22 [en] 第3條 | 本標準管制之空氣污染物項目及適用對象為何？其 | 正確最短 158 vs 171
batch12_c4 #48 [zh] 第15條 | 溴化甲烷管理辦法之施行日期為何？ | 正確最短 9 vs 12
batch12_d1 #35 [en] 第9條 | 違反室內空氣品質管理法罰鍰額度裁罰準則之施行 | 正確最短 20 vs 34
batch12_d1 #40 [zh] 第5條 | 本標準之各項空氣污染物排放規定值如何呈現？ | 正確最短 11 vs 14
batch12_d2 #46 [zh] 第24條 | 蒙特婁議定書列管化學物質管理辦法之施行日期為 | 正確最短 9 vs 12
batch12_d3 #38 [zh] 第9條 | 熱風乾燥機粒狀污染物排放標準之施行日期為何？ | 正確最短 9 vs 12
batch12_d4 #42 [zh] 第22條 | 機車排放空氣污染物檢驗站設置及管理辦法之施行 | 正確最短 9 vs 12
batch12_e1 #37 [zh] 第8條 | 本辦法之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e2 #13 [zh] 第9條 | 本標準之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e2 #26 [zh] 第9條 | 本標準之施行日期如何規定？ | 正確最短 6 vs 8
batch12_e4 #24 [zh] 第11條 | 本辦法之施行日期如何規定？ | 正確最短 6 vs 8
batch12_f1 #15 [zh] 第11條 | 違反水污染防治法按次處罰通知限期改善或補正執 | 正確最短 6 vs 9
batch12_f1 #27 [zh] 第8條 | 違反水污染防治法罰鍰額度裁罰準則之施行日期為 | 正確最短 6 vs 9
batch12_f1 #38 [zh] 第9條 | 違反飲用水管理條例按日連續處罰執行準則之施行 | 正確最短 6 vs 9
batch12_f1 #44 [zh] 第5條 | 廢（污）水處理專責人員違反水污染防治法罰鍰額 | 正確最短 6 vs 9
batch12_f2 #22 [zh] 第17條 | 預鑄式建築物污水處理設施管理辦法之施行日期為 | 正確最短 6 vs 9
batch12_f2 #32 [zh] 第7條 | 有害事業廢棄物檢測及紀錄管理辦法所訂之相關文 | 正確最短 9 vs 13
batch12_f2 #33 [zh] 第8條 | 有害事業廢棄物檢測及紀錄管理辦法之施行日期為 | 正確最短 6 vs 9
batch12_f2 #43 [zh] 第10條 | 再生資源限制或禁止輸入輸出管理辦法所定之相關 | 正確最短 9 vs 13
batch12_f2 #46 [zh] 第13條 | 再生資源限制或禁止輸入輸出管理辦法之施行日期 | 正確最短 6 vs 9
batch12_f3 #43 [zh] 第18條 | 再生資源再使用管理辦法所定之相關文書及證明文 | 正確最短 6 vs 13
batch12_f3 #43 [en] 第18條 | 再生資源再使用管理辦法所定之相關文書及證明文 | 正確最短 50 vs 63
batch12_f3 #44 [zh] 第19條 | 再生資源再使用管理辦法之施行日期為何？ | 正確最短 6 vs 9
batch12_f4 #20 [zh] 第18條 | 事業自行清除處理事業廢棄物許可管理辦法之施行 | 正確最短 6 vs 9
batch12_f4 #43 [zh] 第18條 | 事業廢棄物處理設施餘裕處理容量許可管理辦法之 | 正確最短 6 vs 9
batch12_h1 #34 [en] 第15條 | 中央主管機關核發補貼費之依據為何？ | 正確最短 31 vs 40
batch12_h3 #20 [zh] 第18條 | 本辦法所定之相關文書及證明文件格式，由何機關 | 正確最短 6 vs 9
batch12_j1 #40 [zh] 第30條 | 二氧化碳捕捉後封存管理辦法之施行日期規定為何 | 正確最短 6 vs 8
batch12_j2 #22 [zh] 第20條 | 氫氟碳化物管理辦法之施行日期規定為何？ | 正確最短 6 vs 8
batch12_j2 #45 [zh] 第23條 | 溫室氣體抵換專案管理辦法之施行日期規定為何？ | 正確最短 6 vs 8
batch12_j3 #36 [zh] 第34條 | 本辦法所定之相關文件為外文者，應如何處理？ | 正確最短 7 vs 10
batch12_j3 #41 [zh] 第38條 | 溫室氣體認證機構及查驗機構管理辦法之施行日期 | 正確最短 6 vs 8
batch12_j3 #47 [zh] 第6條 | 數行為違反同一或不同管理辦法或機動車輛管理辦 | 正確最短 6 vs 11
batch12_j3 #47 [en] 第6條 | 數行為違反同一或不同管理辦法或機動車輛管理辦 | 正確最短 29 vs 42
batch12_j3 #48 [zh] 第7條 | 環境檢驗測定機構違反環保法規罰鍰額度裁罰準則 | 正確最短 6 vs 8
batch12_j4 #18 [zh] 第16條 | 設施場所檢送之申請文件有虛偽不實者，中央主管 | 正確最短 6 vs 18
batch12_j4 #18 [en] 第16條 | 設施場所檢送之申請文件有虛偽不實者，中央主管 | 正確最短 33 vs 68
batch12_j4 #22 [zh] 第20條 | 環境教育設施場所認證及管理辦法之施行日期規定 | 正確最短 6 vs 8
batch12_j4 #42 [zh] 第18條 | 環境教育機構檢送之申請文件有虛偽不實者，核發 | 正確最短 6 vs 21
batch12_j4 #42 [en] 第18條 | 環境教育機構檢送之申請文件有虛偽不實者，核發 | 正確最短 33 vs 68
batch12_j4 #44 [zh] 第20條 | 環境教育機構認證之核發、撤銷或廢止，應如何公 | 正確最短 11 vs 14
batch12_j4 #45 [zh] 第21條 | 環境教育機構認證及管理辦法之施行日期規定為何 | 正確最短 6 vs 8
batch13_a2 #25 [en] 第1條 | 噪音管制法施行細則係依何規定訂定？ | 正確最短 35 vs 47
batch13_a3 #1 [en] 第1條 | 水污染防治法施行細則係依何規定訂定？ | 正確最短 45 vs 58
batch13_a3 #2 [zh] 第2條 | 本法第二條第八款所稱作業環境，其定義為何？ | 正確最短 8 vs 12
batch13_d2 #10 [en] 第1條 | 氣候變遷因應法施行細則係依據母法何條規定訂定 | 正確最短 45 vs 58
