file	index	law_id	law	article	law_date	bad_option	option_text	correct_option
batch10_a4	24	ENV-03	營建工程空氣污染防制設施管理辦法	第20條	110.10.18	d	本辦法自中華民國一百十年十月十八日發布日施行	本辦法自中華民國一百十一年十一月一日施行
batch11_a6	43	OSH-07	職業安全衛生設施規則	第328條	115.06.30	b	自一百十五年六月三十日發布日施行，所有修正條文均無例外規定	自一百十五年七月一日施行；但第二十一條之三等條文自一百十六年一月一日施行
batch11_b5	15	OSH-41	高壓氣體勞工安全規則	第244條、第245條	111.09.14	b	本規則自發布日施行；一百十一年修正之第一百九十一條之一及第一百九十二條自一百十一年九月十四日當日施行	本規則自發布後六個月施行；一百十一年修正之第一百九十一條之一及第一百九十二條自一
batch11_b5	41	OSH-44	鍋爐及壓力容器安全規則	第37條	103.07.01	b	本規則自發布後六個月施行；一百零三年七月一日修正條文自同年十月一日施行	本規則自發布日施行；一百零三年七月一日修正條文自一百零三年七月三日施行
batch11_b5	41	OSH-44	鍋爐及壓力容器安全規則	第37條	103.07.01	c	本規則自發布後一年施行；一百零三年七月一日修正條文自一百零四年一月施行	本規則自發布日施行；一百零三年七月一日修正條文自一百零三年七月三日施行
batch11_b5	41	OSH-44	鍋爐及壓力容器安全規則	第37條	103.07.01	d	本規則自公告日施行；一百零三年七月一日修正條文自一百零三年七月一日施行	本規則自發布日施行；一百零三年七月一日修正條文自一百零三年七月三日施行
batch11_d3	44	OSH-36	營造安全衛生設施標準	第174條	115.06.30	c	全部條文一律自發布日即一百十五年六月三十日起生效施行不另定日期	除第十一條之二自一百十六年七月一日施行外，自一百十五年七月一日施行
batch11_k2	25	OSH-11	職業安全衛生教育訓練規則	第43條	115.06.25	d	本規則自發布日施行；一百十五年六月二十五日修正之條文自一百十六年七月一日施行	本規則自發布日施行；一百十四年九月四日修正發布之條文，自一百十五年一月一日施行
batch11_k2	44	OSH-22	女性勞工母性健康保護實施辦法	第16條	113.05.31	b	本辦法自一百零三年七月三日施行；一百十三年五月三十一日修正之第三條及第五條自一百十四年一月一日施行	本辦法自一百零四年一月一日施行；一百十三年五月三十一日修正之第三條及第五條自一百
batch11_l1	40	OSH-18	異常氣壓危害預防標準	第94條	103.06.25	b	分別自一百零一年一月四日及一百零三年六月二十五日施行	分別自一百零一年一月一日及一百零三年七月三日施行
batch11_l2	13	OSH-16	精密作業勞工視機能保護設施標準	第12條	103.06.30	b	自一百零三年六月三十日施行，本標準自發布日施行	自一百零三年七月三日施行，本標準則自發布日施行
