code	file	index	law_id	article	issue	detail	question
D5	batch10_a1	5	ENV-01	第4條	題幹疑似洩答	空氣污染訓練及防制有關事宜	關於空氣污染訓練及防制有關事宜之辦理，本法有何規定？
D1	batch10_a1	11	ENV-01	第10條	選項b 疑似也對	污染物容許增量限值避免空氣品質惡化措施新設或變更固定污染源審	未符合空氣品質標準之總量管制區，其總量管制計畫應包括哪些事項？
D5	batch10_a1	15	ENV-01	第14條	題幹疑似洩答	各級主管機關及公私場所應	空氣品質有嚴重惡化之虞時，各級主管機關及公私場所應如何處理？
D3	batch10_a1	37	ENV-01	第33條	選項b 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	固定污染源因突發事故大量排放空氣污染物時，負責人應如何處理？
D3	batch10_a2	33	ENV-01	第82條	選項c 中英數值不同	zh多:[180.0] en多:[80.0]	依本法通知限期補正、改善或申報者，其期間以多久為限？因天災不可抗力時如何處理？
D5	batch10_a2	52	ENV-01	第99條	題幹疑似洩答	空氣污染防制法施行細則	空氣污染防制法施行細則之訂定機關為何？
D2	batch10_a3	7	ENV-02	第6條	正確選項缺依據	該條已刪除，現行條文並無任何規範內容，相關事項回歸本法及其他條文規定	空氣污染防制法施行細則第六條之現行內容為何？
D4	batch10_a4	25	ENV-04	第1條	選項a與b過於相似	0.98	固定污染源逸散性粒狀污染物空氣污染防制設施管理辦法之訂定法源為何？
D3	batch10_a4	38	ENV-04	第11條	選項d 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	附表一所列序號一至七之適用對象，其攝錄影監視系統之設置、保存及故障處理規定為何？
D2	batch10_b1	2	ENV-05	第3條	正確選項缺依據	指超過噪音管制標準之聲音，未超過者不屬本法所稱噪音	噪音管制法所稱噪音，其定義為何？
D5	batch10_b1	20	ENV-05	第18條	題幹疑似洩答	有土地使用及開發計畫	各級航空噪音防制區內既有土地使用及開發計畫，直轄市、縣（市）主管機關應依何原則檢
D3	batch10_b1	44	ENV-06	第2條	選項a 中英數值不同	zh多:[10.0, 11.0] en多:[19.0, 22.0, 23.0]	噪音管制標準所定日間、晚間、夜間之時段如何區分？
D3	batch10_b1	44	ENV-06	第2條	選項b 中英數值不同	zh多:[9.0, 10.0] en多:[18.0, 21.0, 22.0]	噪音管制標準所定日間、晚間、夜間之時段如何區分？
D3	batch10_b1	44	ENV-06	第2條	選項c 中英數值不同	zh多:[11.0, 12.0] en多:[20.0, 23.0, 24.0]	噪音管制標準所定日間、晚間、夜間之時段如何區分？
D3	batch10_b1	44	ENV-06	第2條	選項d 中英數值不同	zh多:[11.0] en多:[19.0, 23.0]	噪音管制標準所定日間、晚間、夜間之時段如何區分？
D2	batch10_b2	19	ENV-13	第15條	正確選項缺依據	得合併進行環境影響評估，不必就各開發行為分別進行評估程序	同一場所有二個以上之開發行為同時實施者，依環境影響評估法應如何處理？
D2	batch10_b3	5	ENV-21	第4條	正確選項缺依據	應由政府負責，此為政府對環境危害之補位責任規定	環境污染者、破壞者不存在或無法確知時，其環境危害之責任應由何人負擔？
D5	batch10_b3	32	ENV-21	第30條	題幹疑似洩答	整合及推動維護環境資源之政策	中央政府為有效整合及推動維護環境資源之政策及相關事務，依環境基本法應如何辦理？
D1	batch10_b4	22	ENV-23	第19條	選項b 疑似也對	每年應訂定環境教育計畫推展環境教育所有員工教師學生均應參加	機關、公營事業機構、高級中等以下學校及政府捐助基金累計超過百分之五十之財團法人，
D5	batch10_b4	26	ENV-23	第21條	題幹疑似洩答	各級主管機關及中央目的事業主管機關	各級主管機關及中央目的事業主管機關對於從事環境教育成效優良者，得為何種處置？相關
D3	batch10_b4	28	ENV-23	第23條	選項c 中英數值不同	zh多:[24.0] en多:[20.0]	違反環境保護法律或自治條例之行政法上義務，於何種處分情形下應接受環境講習？其對象
D3	batch10_b4	29	ENV-23	第24條	選項b 中英數值不同	zh多:[24.0] en多:[4.0, 20.0]	機關、公營事業機構、高級中等以下學校或政府捐助基金累計超過百分之五十之財團法人，
D3	batch10_b4	38	ENV-25	第5條	選項a 中英數值不同	zh多:[21.0] en多:[20.0]	調處委員會之委員人數及主任委員之產生方式為何？
D3	batch10_b4	38	ENV-25	第5條	選項d 中英數值不同	zh多:[31.0] en多:[30.0]	調處委員會之委員人數及主任委員之產生方式為何？
D3	batch10_b4	44	ENV-25	第10條	選項b 中英數值不同	zh多:[21.0] en多:[20.0]	裁決委員會之委員人數及遴選程序為何？
D3	batch10_b4	44	ENV-25	第10條	選項d 中英數值不同	zh多:[25.0] en多:[5.0, 20.0]	裁決委員會之委員人數及遴選程序為何？
