file	index	law_id	law	article	nums_not_in_text	correct	question
batch4_d	7	OSH-11	職業安全衛生教育訓練規則	第3條附表一	42.0	四十二小時	甲種職業安全衛生業務主管安全衛生教育訓練之時數為幾小時？
batch4_d	8	OSH-11	職業安全衛生教育訓練規則	第3條附表一	21.0,35.0	三十五小時；二十一小時	乙種及丙種職業安全衛生業務主管教育訓練之時數各為幾小時？
batch4_d	9	OSH-11	職業安全衛生教育訓練規則	第3條附表一	6.0	六小時	丁種職業安全衛生業務主管教育訓練之時數為幾小時？
batch4_d	10	OSH-11	職業安全衛生教育訓練規則	第10條附表八	18.0	十八小時	擋土支撐、模板支撐、施工架組配、屋頂作業等營造作業主管之安全衛生教育訓練時數為幾小時？
batch4_d	11	OSH-11	職業安全衛生教育訓練規則	第11條附表九	18.0,36.0	十八小時；三十六小時	有機溶劑、缺氧、特定化學物質等有害作業主管之教育訓練時數為幾小時？潛水作業主管為幾小時？
batch4_d	12	OSH-11	職業安全衛生教育訓練規則	第12條附表十	38.0	三十八小時	吊升荷重三公噸以上之固定式起重機、移動式起重機及人字臂起重桿操作人員之教育訓練時數為幾小
batch4_d	13	OSH-11	職業安全衛生教育訓練規則	第12條附表十	21.0,26.0	二十六小時；二十一小時	吊籠操作人員與營建用提升機操作人員之教育訓練時數各為幾小時？
batch4_d	14	OSH-11	職業安全衛生教育訓練規則	第9條附表七	22.0	二十二小時	高壓氣體製造安全主任之安全衛生教育訓練時數為幾小時？
batch4_d	15	OSH-10	勞工健康保護規則	第2條附表一	85.0	八十五分貝	勞工噪音暴露工作日八小時日時量平均音壓級在多少分貝以上之噪音作業，屬特別危害健康作業？
batch4_d	18	OSH-10	勞工健康保護規則	第3條附表二	1.0	每月一次；三小時	第一類事業勞工人數三百人至九百九十九人者，從事勞工健康服務之醫師臨場服務頻率為何？每次臨
batch4_d	19	OSH-10	勞工健康保護規則	第3條附表二	1.0	每月一次；每四個月一次	從事特別危害健康作業勞工人數在一百人以上者，職業醫學科專科醫師臨場服務頻率為何？五十至九
batch4_d	20	OSH-10	勞工健康保護規則	第3條附表三	1.0	一人；三人	事業單位勞工人數三百人至九百九十九人且特別危害健康作業勞工未達一百人者，應僱用護理人員幾
batch4_d	21	OSH-10	勞工健康保護規則	第3條附表三	6000.0	三人；六千人	依附表三，事業單位設置護理人員數達幾人以上者，得置護理主管一人？勞工人數超過六千人者，每
batch5_c	7	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第2條附表一	220.0	坑內工作、處理爆炸性易燃性物質、鉛汞鉻砷等有害物散布場所、有害輻射、有害粉塵、運轉中機器危險部分之掃除上油、超過二百二十	雇主不得使未滿十八歲者從事之工作，下列何者屬之？
batch5_c	8	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第2條附表一	25.0	二十五公斤；十五公斤	十六歲以上未滿十八歲之勞工從事重物處理作業，斷續性作業及持續性作業之重量規定值各為多少公
batch5_c	10	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第3條附表二	6.0,10.0	十公斤；六公斤	妊娠中之女性勞工從事重物處理作業，斷續性作業及持續性作業之規定值各為多少公斤？
batch5_c	11	OSH-20	妊娠與分娩後女性及未滿十八歲勞工禁止從事危險性或有害性工作認定標準	第4條附表三	1.0	礦坑工作、鉛及其化合物散布場所、鑿岩機等顯著振動、一定重量以上重物處理	雇主不得使分娩後未滿一年之女性勞工從事之工作，下列何者屬之？
