law_id	group	law	article	has_annex	text
OSH-01	OSH	職業安全衛生法	第1條		為防止職業災害，保障工作者安全及健康，特制定本法；其他法律有特別規定者，從其規定。
OSH-01	OSH	職業安全衛生法	第2條		本法用詞，定義如下： ／ 一、工作者：指勞工、自營作業者及其他受工作場所負責人指揮或監督從事勞動之人員。 ／ 二、勞工：指受僱從事工作獲致工資者。 ／ 三、雇主：指事業主或事業之經營負責人。 ／ 四、事業單位：指本法適用範圍內僱用勞工從事工作之機構。 ／ 五、職業災害：指因勞動場所之建築物、機械、設備、原料、材料、化學品、氣體、蒸氣、粉塵等或作業活動及其他職業上原因引起之工作者疾病、傷害、失能或死亡。 ／ 六、勞動場所：指於勞動契約存續中，由雇主所提示，使勞工履行契約提供勞務之場所；自營作業者實際從事勞動之場所；及其他受工作場所負責人指揮或監督從事勞動之人員，實際從事勞動之場所。 ／ 七、工作場所：指勞動場所中，接受雇主或代理雇主指示處理有關勞工事務之人所能支配、管理之場所。 ／ 八、作業場所：指工作場所中，從事特定工作目的之場所。
OSH-01	OSH	職業安全衛生法	第3條		本法所稱主管機關：在中央為勞動部；在直轄市為直轄市政府；在縣（市）為縣（市）政府。 ／ 本法有關衛生事項，中央主管機關應會商中央衛生主管機關辦理。
OSH-01	OSH	職業安全衛生法	第4條		本法適用於各業。但因事業規模、性質及風險等因素，中央主管機關得指定公告其適用本法之部分規定。
OSH-01	OSH	職業安全衛生法	第5條		雇主使勞工從事工作，應在合理可行範圍內，採取必要之預防設備或措施，使勞工免於發生職業災害。 ／ 機械、設備、器具、原料、材料等物件之設計、製造或輸入者及工程之設計或施工者，應於設計、製造、輸入或施工規劃階段實施風險評估，致力防止此等物件於使用或工程施工時，發生職業災害。
OSH-01	OSH	職業安全衛生法	第6條		雇主對下列事項應有符合規定之必要安全衛生設備及措施： ／ 一、防止機械、設備或器具等引起之危害。 ／ 二、防止爆炸性或發火性等物質引起之危害。 ／ 三、防止電、熱或其他之能引起之危害。 ／ 四、防止採石、採掘、裝卸、搬運、堆積或採伐等作業中引起之危害。 ／ 五、防止有墜落、物體飛落或崩塌等之虞之作業場所引起之危害。 ／ 六、防止高壓氣體引起之危害。 ／ 七、防止原料、材料、氣體、蒸氣、粉塵、溶劑、化學品、含毒性物質或缺氧空氣等引起之危害。 ／ 八、防止輻射、高溫、低溫、超音波、噪音、振動或異常氣壓等引起之危害。 ／ 九、防止監視儀表或精密作業等引起之危害。 ／ 十、防止廢氣、廢液或殘渣等廢棄物引起之危害。 ／ 十一、防止水患、風災或火災等引起之危害。 ／ 十二、防止動物、植物或微生物等引起之危害。 ／ 十三、防止通道、地板或階梯等引起之危害。 ／ 十四、防止未採取充足通風、採光、照明、保溫或防濕等引起之危害。 ／ 雇主對下列事項，應妥為規劃及採取必要之安全衛生措施： ／ 一、重複性作業等促發肌肉骨骼疾病之預防。 ／ 二、輪班、夜間工作、長時間工作等異常工作負荷促發疾病之預防。 ／ 三、執行職務因他人行為遭受身體或精神不法侵害之預防，並建立申訴、調查及處理程序。 ／ 四、避難、急救、休息或其他為保護勞工身心健康之事項。 ／ 前二項必要之安全衛生設備與措施之標準及規則，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第7條		製造者、輸入者、供應者或雇主，對於中央主管機關指定之機械、設備或器具，其構造、性能及防護非符合安全標準者，不得產製運出廠場、輸入、租賃、供應或設置。 ／ 前項之安全標準，由中央主管機關定之。 ／ 製造者或輸入者對於第一項指定之機械、設備或器具，符合前項安全標準者，應於中央主管機關指定之資訊申報網站登錄，並於其產製或輸入之產品明顯處張貼安全標示，以供識別。但屬於公告列入型式驗證之產品，應依第八條及第九條規定辦理。 ／ 前項資訊登錄方式、標示及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第8條		製造者或輸入者對於中央主管機關公告列入型式驗證之機械、設備或器具，非經中央主管機關認可之驗證機構實施型式驗證合格及張貼合格標章，不得產製運出廠場或輸入。 ／ 前項應實施型式驗證之機械、設備或器具，有下列情形之一者，得免驗證，不受前項規定之限制： ／ 一、依第十六條或其他法律規定實施檢查、檢驗、驗證或認可。 ／ 二、供國防軍事用途使用，並有國防部或其直屬機關出具證明。 ／ 三、限量製造或輸入僅供科技研發、測試用途之專用機型，並經中央主管機關核准。 ／ 四、非供實際使用或作業用途之商業樣品或展覽品，並經中央主管機關核准。 ／ 五、其他特殊情形，有免驗證之必要，並經中央主管機關核准。 ／ 第一項之驗證，因產品構造規格特殊致驗證有困難者，報驗義務人得檢附產品安全評估報告，向中央主管機關申請核准採用適當檢驗方式為之。 ／ 輸入者對於第一項之驗證，因驗證之需求，得向中央主管機關申請先行放行，經核准後，於產品之設置地點實施驗證。 ／ 前四項之型式驗證實施程序、項目、標準、報驗義務人、驗證機構資格條件、認可、撤銷與廢止、合格標章、標示方法、先行放行條件、申請免驗、安全評估報告、監督管理及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第9條		製造者、輸入者、供應者或雇主，對於有下列情事之產品，不得使用安全標示、驗證合格標章、易生混淆之類似標示或標章揭示於產品： ／ 一、未完成資訊申報網站登錄。 ／ 二、未取得型式驗證合格。 ／ 三、資訊申報網站登錄逾期或型式驗證逾期。 ／ 製造者或輸入者對於完成資訊申報網站登錄或取得型式驗證合格之產品，應建立及保存產銷資料。 ／ 中央主管機關或勞動檢查機構，得對前項產品進行抽驗及市場查驗，業者不得規避、妨礙或拒絕。 ／ 第二項產銷資料應包括之內容、保存年限與其他相關事項，及前項產品抽驗、市場查驗及其他相關事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第10條		雇主對於具有危害性之化學品，應予標示、製備清單及揭示安全資料表，並採取必要之通識措施。 ／ 製造者、輸入者或供應者，提供前項化學品與事業單位或自營作業者前，應予標示及提供安全資料表；資料異動時，亦同。 ／ 前二項化學品之範圍、標示、清單格式、安全資料表、揭示、通識措施及其他應遵行事項之規則，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第11條		雇主對於前條之化學品，應依其健康危害、散布狀況及使用量等情形，評估風險等級，並採取分級管理措施。 ／ 前項之評估方法、分級管理程序與採行措施及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第12條		雇主對於中央主管機關定有容許暴露標準之作業場所，應確保勞工之危害暴露低於標準值。 ／ 前項之容許暴露標準，由中央主管機關定之。 ／ 雇主對於經中央主管機關指定之作業場所，應訂定作業環境監測計畫，並設置或委託由中央主管機關認可之作業環境監測機構實施監測。但中央主管機關指定免經監測機構分析之監測項目，得僱用合格監測人員辦理之。 ／ 雇主對於前項監測計畫及監測結果，應公開揭示，並通報中央主管機關。中央主管機關或勞動檢查機構得實施查核。 ／ 前二項之作業場所指定、監測計畫與監測結果揭示、通報、監測機構與監測人員資格條件、認可、撤銷與廢止、查核方式及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第13條		製造者或輸入者對於中央主管機關公告之化學物質清單以外之新化學物質，未向中央主管機關繳交化學物質安全評估報告，並經核准登記前，不得製造或輸入含有該物質之化學品。但其他法律已規定或經中央主管機關公告不適用者，不在此限。 ／ 前項評估報告，中央主管機關為防止危害工作者安全及健康，於審查後得予公開。 ／ 前二項化學物質清單之公告、新化學物質之登記、評估報告內容、審查程序、資訊公開及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第14條		製造者、輸入者、供應者或雇主，對於經中央主管機關指定之管制性化學品，不得製造、輸入、供應或供工作者處置、使用。但經中央主管機關許可者，不在此限。 ／ 製造者、輸入者、供應者或雇主，對於中央主管機關指定之優先管理化學品，應將相關運作資料報請中央主管機關備查。 ／ 前二項化學品之指定、許可條件、期間、廢止或撤銷許可、運作資料內容及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第15條		有下列情事之一之工作場所，事業單位應依中央主管機關規定之期限，定期實施製程安全評估，並製作製程安全評估報告及採取必要之預防措施；製程修改時，亦同： ／ 一、從事石油裂解之石化工業。 ／ 二、從事製造、處置或使用危害性之化學品數量達中央主管機關規定量以上。 ／ 前項製程安全評估報告，事業單位應報請勞動檢查機構備查。 ／ 前二項危害性之化學品數量、製程安全評估方法、評估報告內容要項、報請備查之期限、項目、方式及其他應遵行事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第15-1條		事業單位將一定規模以上之工程交付規劃、設計時，應依其工程特性，分析潛在施工危害，編製安全衛生圖說及規範，量化編列安全衛生費用，並製作工程規劃設計安全分析報告。 ／ 事業單位將前項工程交付施工時，應使該施工者於事前依工程規劃設計安全分析報告，評估施工風險，採取必要之預防設備及措施，納入施工計畫書，並確實執行。 ／ 事業單位應使前項施工者依施工計畫書確實執行，並指派人員或委託專業機構監督及查證。 ／ 前三項一定規模以上工程範圍、分析與評估方法、安全衛生圖說與規範之內容、工程規劃設計安全分析報告與施工計畫書內容要項、人員或專業機構之資格條件、監督與查證內容及其他相關事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第16條		雇主對於經中央主管機關指定具有危險性之機械或設備，非經勞動檢查機構或中央主管機關指定之代行檢查機構檢查合格，不得使用；其使用超過規定期間者，非經再檢查合格，不得繼續使用。 ／ 代行檢查機構應依本法及本法所發布之命令執行職務。 ／ 檢查費收費標準及代行檢查機構之資格條件與所負責任，由中央主管機關定之。 ／ 第一項所稱危險性機械或設備之種類、應具之容量與其製程、竣工、使用、變更或其他檢查之程序、項目、標準及檢查合格許可有效使用期限等事項之規則，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第17條		勞工工作場所之建築物，應由依法登記開業之建築師依建築法規及本法有關安全衛生之規定設計。
OSH-01	OSH	職業安全衛生法	第18條		工作場所有立即發生危險之虞時，雇主或工作場所負責人應即令停止作業，並使勞工退避至安全場所。 ／ 勞工執行職務發現有立即發生危險之虞時，得在不危及其他工作者安全情形下，自行停止作業及退避至安全場所，並立即向直屬主管報告。 ／ 雇主不得對前項勞工予以解僱、調職、不給付停止作業期間工資或其他不利之處分。但雇主證明勞工濫用停止作業權，經報主管機關認定，並符合勞動法令規定者，不在此限。
OSH-01	OSH	職業安全衛生法	第19條		在高溫場所工作之勞工，雇主不得使其每日工作時間超過六小時；異常氣壓作業、高架作業、精密作業、重體力勞動或其他對於勞工具有特殊危害之作業，亦應規定減少勞工工作時間，並在工作時間中予以適當之休息。 ／ 前項高溫度、異常氣壓、高架、精密、重體力勞動及對於勞工具有特殊危害等作業之減少工作時間與休息時間之標準，由中央主管機關會同有關機關定之。
