date	law_id	law_version	change	affected_questions	action	done_by
2026-09-03	OSH-01	民國114年12月19日	建立批次1：以全國法規資料庫現行條文出題（本法）	Q0001–Q0096	初版 draft，待審	Claude Code
2026-09-03	OSH-02	民國115年6月26日	建立批次1：以全國法規資料庫現行條文出題（施行細則，115/7/1 施行）	Q0097–Q0129	初版 draft，待審	Claude Code
2026-09-03	OSH-07	民國115年6月30日	建立批次2：職業安全衛生設施規則（115/7/1 施行，部分條文 116/1/1）	batch=2 之 OSH-07	初版 draft，待審	Claude Code
2026-09-03	OSH-36	民國115年6月30日	建立批次2：營造安全衛生設施標準（第11條之2 自 116/7/1 施行）；Laws 分頁新增 OSH-36	batch=2 之 OSH-36	初版 draft，待審	Claude Code
2026-09-03	OSH-13	民國111年5月11日	建立批次2：機械設備器具安全標準；Laws 分頁 OSH-13 來源網址修正為 N0060034	batch=2 之 OSH-13	初版 draft，待審	Claude Code
2026-09-03	ENV-26..97	見各題 law_version	建立批次8：環保子法（空污專責人員、固定污染源排放標準、空品標準、室內空品、噪音細則、環境音量標準、水污細則、廢水專責人員、廢清細則、有害事業廢棄物認定、清除處理機構、環評細則、毒化物子法、土污標準、氣候法子法、環教子法…）	batch=8	初版 draft，待審	Claude Code
2026-09-03	OSH-51..96, ENV-26..97	見各題 law_version	建立批次7：依全國法規資料庫「職業安全衛生目／勞動檢查目／環境部各目」總表補齊：新增 46 部職安法規、72 部環保子法（原文已抓齊）；批次7 起建立題目（霸凌準則、工程安全設計、容許暴露、環測、危險性機械設備檢查、化學品三辦法、機械產品申報登錄／型式驗證、健康服務機構、職業病鑑定、職災補助…）	batch=7	初版 draft，待審	Claude Code
2026-09-03	OSH-39,40,42,43,44,45,46,47,48,49,50	見各題 law_version	建立批次6：鉛、四烷基鉛、有機溶劑、特定化學物質、粉塵、化學品評估分級、鍋爐壓力容器、起重升降機具、碼頭裝卸、勞動基準法及施行細則（使用者 2026-09-03 增列之職安範圍）	batch=6	初版 draft，待審	Claude Code
2026-09-03	OSH-03,04,35,22,20,21,16,17,23,25,29,31,30,19,27,26,33,28	見各題 law_version	建立批次5：勞動檢查法系（含施行細則、立即危險認定標準、違反案件處理要點、重大災害通報要點、優良單位選拔要點）、勞工職業災害保險及保護法、母性健康保護、妊娠及未滿十八歲禁止工作認定標準、女性夜間、精密、重體力、工業用機器人、顧問機構、文化獎勵、績效評核、健檢醫療機構認可、檢驗機構要點；Laws 分頁全部 61 部法規版本日期改由條文檔自動帶入	batch=5	初版 draft，待審	Claude Code
2026-09-03	OSH-09,11,10,08,32	見各題 law_version	建立批次4：職業安全衛生管理辦法（115/6/29）、教育訓練規則（115/6/25）、勞工健康保護規則（115/6/26）、危險性工作場所審查及檢查辦法（109/7/17）、製程安全評估定期實施辦法（109/7/17）	batch=4	初版 draft，待審	Claude Code
2026-09-03	OSH-34,15,14,18,12,24	見各題 law_version	建立批次3：缺氧症預防規則、高架作業、高溫作業、異常氣壓、危害性化學品標示及通識規則（115/8/26；附表一、四自 118/1/1 施行）、標示設置準則；Laws 分頁 source_url 全面改為法規資料庫查得之正確代碼	batch=3	初版 draft，待審	Claude Code
