law_id	group	tier	name_zh	name_en	law_version	source_url	weight	note	articles	questions	family
OSH-01	OSH	1	職業安全衛生法	Occupational Safety and Health Act	民國114年12月19日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060001	3		61	109	職安-職業安全衛生法體系
OSH-02	OSH	1	職業安全衛生法施行細則	Enforcement Rules of the OSH Act	民國115年6月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060002	3		56	61	職安-職業安全衛生法體系
OSH-09	OSH	1	職業安全衛生管理辦法	Regulations of Occupational Safety and Health Management	民國115年6月29日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060027	3		111	127	職安-職業安全衛生法體系
OSH-11	OSH	1	職業安全衛生教育訓練規則	Occupational Safety and Health Education and Training Rules	民國115年6月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060010	3		51	65	職安-職業安全衛生法體系
OSH-08	OSH	1	危險性工作場所審查及檢查辦法	Regulations for Review and Inspection of Dangerous Workplaces	民國109年7月17日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0070019	2		25	40	職安-職業安全衛生法體系
OSH-07	OSH	1	職業安全衛生設施規則	Occupational Safety and Health Facilities Rules	民國115年6月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060009	3		393	404	職安-設施與作業標準
OSH-36	OSH	1	營造安全衛生設施標準	Construction Safety and Health Facilities Standards	民國115年6月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060014	3		189	212	職安-設施與作業標準
OSH-34	OSH	1	缺氧症預防規則	Rules for Prevention of Hypoxia	民國103年6月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060020	3		32	37	職安-設施與作業標準
OSH-14	OSH	1	高溫作業勞工作息時間標準	Standards for Work and Rest Time of Laborers in High-Temperature Work	民國103年7月1日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060007	2		11	19	職安-設施與作業標準
OSH-15	OSH	1	高架作業勞工保護措施標準	Standards for Protective Measures for Laborers in Work at Height	民國103年6月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060029	2		9	13	職安-設施與作業標準
OSH-16	OSH	1	精密作業勞工視機能保護設施標準	Standards for Visual Protection Facilities for Precision Work	民國103年6月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060012	1		12	12	職安-設施與作業標準
OSH-17	OSH	1	重體力勞動作業勞工保護措施標準	Standards for Protective Measures for Heavy Physical Labor	民國103年6月30日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060016	1		8	8	職安-設施與作業標準
OSH-18	OSH	1	異常氣壓危害預防標準	Standards for Prevention of Abnormal Pressure Hazards	民國103年6月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060026	2		97	103	職安-設施與作業標準
OSH-23	OSH	1	工業用機器人危害預防標準	Standards for Prevention of Industrial Robot Hazards	民國107年2月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060025	1		37	38	職安-設施與作業標準
OSH-46	OSH	1	碼頭裝卸安全衛生設施標準	Safety and Health Facilities Standards for Wharf Loading and Unloading	民國114年9月10日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060006	1		69	95	職安-設施與作業標準
OSH-12	OSH	1	危害性化學品標示及通識規則	Regulations on Labeling and Hazard Communication of Hazardous Chemicals	民國115年8月26日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060054	2		25	33	職安-危害性化學品與作業環境
OSH-43	OSH	1	危害性化學品評估及分級管理辦法	Regulations for Assessment and Tiered Management of Hazardous Chemicals	民國103年12月31日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060070	1		12	17	職安-危害性化學品與作業環境
OSH-45	OSH	1	粉塵危害預防標準	Standards for Prevention of Dust Hazards	民國103年6月25日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060021	1		26	33	職安-危害性化學品與作業環境
OSH-47	OSH	1	有機溶劑中毒預防規則	Organic Solvent Poisoning Prevention Rules	民國114年5月14日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060017	1		29	32	職安-危害性化學品與作業環境
OSH-50	OSH	1	特定化學物質危害預防標準	Standards for Prevention of Hazards from Specified Chemical Substances	民國110年9月16日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060015	1		54	61	職安-危害性化學品與作業環境
OSH-39	OSH	1	鉛中毒預防規則	Lead Poisoning Prevention Rules	民國113年6月13日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060018	1		52	56	職安-危害性化學品與作業環境
OSH-40	OSH	1	四烷基鉛中毒預防規則	Tetraalkyl Lead Poisoning Prevention Rules	民國111年6月29日	https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0060019	1		29	30	職安-危害性化學品與作業環境
