id	law_group	law_id	law	article	law_version	category	difficulty	q_zh	a_zh	b_zh	c_zh	d_zh	q_en	a_en	b_en	c_en	d_en	answer	explain_zh	explain_en	status	batch	reviewer	review_note
ENV-0001	ENV	ENV-21	環境基本法	第1條	民國91年12月11日	環基法-立法目的	1	環境基本法之立法目的及其與其他法律之適用關係為何？	為統一各環保法規之罰則額度並簡化裁處程序；本法未規定者由中央主管機關以行政命令逐案補充後適用	為促進經濟成長並保障事業投資權益、加速重大建設之推動；本法未規定者一律優先適用而排除其他法律之適用	為提升環境品質、增進國民健康與福祉、維護環境資源、追求永續發展以推動環境保護；本法未規定者適用其他法律之規定	為劃分中央與地方環境保護權限並解決管轄爭議；本法未規定者由行政院逐案指定應適用之法律及機關	What is the purpose of the Basic Environment Act and how does it relate to other laws?	To unify the fine levels across environmental statutes and simplify sanction procedures; where silent, the central authority fills gaps by administrative order	To promote economic growth and protect business investment rights and speed up major projects; it always prevails over and excludes the application of other laws	To raise environmental quality, advance public health and welfare, conserve environmental resources and pursue sustainable development; other laws apply where it is silent	To divide central and local environmental powers and settle jurisdiction disputes; where silent, the Executive Yuan designates the applicable law case by case	c	第1條：為提升環境品質，增進國民健康與福祉，維護環境資源，追求永續發展，以推動環境保護而制定；本法未規定者適用其他法律之規定。第2條第2項並定義永續發展為滿足當代需求同時不損及後代滿足其需要之發展。	Article 1, read with the definition of sustainable development in Article 2.	draft	10		
ENV-0002	ENV	ENV-21	環境基本法	第2條	民國91年12月11日	環基法-環境定義	2	環境基本法所稱環境，其定義及範圍為何？	指依各環境保護法律所定管制標準所涵蓋之污染介質總稱，包括空氣、水體、土壤、噪音、振動、惡臭、廢棄物及毒性化學物質等受管制之項目	指經中央主管機關依環境影響評估法公告應實施評估之開發區域，包括工業區、科學園區、遊樂區、風景區、礦區及各級政府劃定之環境保護區域等	指人類居住之都市計畫區域內各種公共設施與建築物之總稱，包括住宅、道路、公園、綠地、下水道、垃圾處理場、公共運輸系統及各類環境保護處理設施等	指影響人類生存與發展之各種天然資源及經過人為影響之自然因素總稱，包括陽光、空氣、水、土壤、礦產、森林、野生生物、景觀及遊憩、社會經濟、文化與自然生態系統等	How does the Act define environment?	The pollution media covered by the control standards of the environmental statutes, including air, water bodies, soil, noise, vibration, odor, waste and toxic chemical substances subject to regulatory control	Development areas announced as requiring assessment under the EIA Act, including industrial parks, science parks, recreation areas, scenic areas, mining areas and environmental protection areas designated by governments	All public facilities and buildings inside urban planning districts where people live, including housing, roads, parks, green space, sewers, waste treatment plants, public transport systems and various environmental treatment facilities	All natural resources and human-influenced natural factors affecting human survival and development, including sunlight, air, water, soil, minerals, forests, wildlife, landscape and recreation, socio-economy, culture and natural ecosystems	d	第2條第1項：環境係指影響人類生存與發展之各種天然資源及經過人為影響之自然因素總稱，包括陽光、空氣、水、土壤、陸地、礦產、森林、野生生物、景觀及遊憩、社會經濟、文化、人文史蹟、自然遺蹟及自然生態系統等。此定義較各污染防制法之管制對象為廣。	Article 2, paragraph 1.	draft	10		
ENV-0003	ENV	ENV-21	環境基本法	第2條	民國91年12月11日	環基法-永續發展	2	環境基本法所稱永續發展之定義為何？	係指在不增加政府預算負擔下持續改善環境品質之發展	係指以最低成本達成最高經濟成長並兼顧就業機會之發展	係指依國際公約所定減碳目標逐年降低排放總量之發展	係指做到滿足當代需求，同時不損及後代滿足其需要之發展	How does the Act define sustainable development?	Development that keeps improving environmental quality without adding to the government budget	Development achieving the highest economic growth at least cost while also creating employment	Development that lowers total emissions each year to meet targets set by international treaties	Development that meets present needs without impairing later generations' ability to meet theirs	d	第2條第2項：永續發展係指做到滿足當代需求，同時不損及後代滿足其需要之發展。第7條規定中央政府應建立永續發展指標，第29條規定行政院應設置國家永續發展委員會負責相關決策。	Article 2, paragraph 2, read with Articles 7 and 29.	draft	10		
ENV-0004	ENV	ENV-21	環境基本法	第3條	民國91年12月11日	環基法-環保優先	2	經濟、科技及社會發展與環境保護發生衝突時，環境基本法採何原則？	基於國家長期利益應由行政院逐案協調決定，任一方均無優先地位而以協商結果作為施政依據	基於國家長期利益均應兼顧環境保護，但對環境有嚴重不良影響或有危害之虞者，應環境保護優先	基於國家長期利益應以科技發展為優先，環境保護目標得視科技水準之進展逐年調整放寬標準	基於國家長期利益應以經濟發展為優先，環境保護措施不得妨礙重大建設之推動與產業之升級	When development and environmental protection conflict, what principle does the Act adopt?	The Executive Yuan coordinates case by case with neither side having priority, and the negotiated outcome guides government policy on the matter	Economic, technological and social development must accommodate protection, but protection prevails where there is serious adverse impact or risk	Technological development takes priority for long-term national interest, and protection targets may be relaxed each year as technology advances	Economic development takes priority for long-term national interest, and protection measures must not hinder major projects or industrial upgrading	b	第3條：基於國家長期利益，經濟、科技及社會發展均應兼顧環境保護；但經濟、科技及社會發展對環境有嚴重不良影響或有危害之虞者，應環境保護優先。第8條並要求各級政府施政應納入環境保護優先、永續發展理念。	Article 3, read with Article 8.	draft	10		
ENV-0005	ENV	ENV-21	環境基本法	第4條	民國91年12月11日	環基法-共同責任	2	環境保護之義務與責任，依環境基本法應由何人負擔？污染者破壞者之責任如何規定？	僅各級政府負環境保護之義務與責任；環境污染者、破壞者僅於故意造成損害時始須對其環境危害負賠償之責任	僅中央政府負環境保護之義務與責任；環境污染者、破壞者之責任應由目的事業主管機關逐案認定後始得追究	國民、事業及各級政府應共負環境保護之義務與責任；環境污染者、破壞者應對其所造成之環境危害或環境風險負責	僅事業及開發單位負環境保護之義務與責任；環境污染者、破壞者得以繳納污染防治費用之方式免除其責任	Who bears the duty of environmental protection, and what liability do polluters have?	Only governments at all levels bear the duty; polluters and destroyers are liable for environmental harm only where they acted intentionally	Only the central government bears the duty; liability of polluters must first be determined case by case by the industry competent authority	Citizens, enterprises and governments at all levels share the duty; polluters and destroyers are liable for the environmental harm or risk they cause	Only enterprises and developers bear the duty; polluters and destroyers may discharge their liability by paying pollution control charges instead	c	第4條第1項：國民、事業及各級政府應共負環境保護之義務與責任。第2項：環境污染者、破壞者應對其所造成之環境危害或環境風險負責。第5條、第6條分別具體化國民與事業之義務，第7條以下則規範政府之責任。	Article 4, paragraphs 1 and 2.	draft	10		
ENV-0006	ENV	ENV-21	環境基本法	第4條	民國91年12月11日	環基法-政府補位責任	2	環境污染者、破壞者不存在或無法確知時，其環境危害之責任應由何人負擔？	應由受害之當地居民自行承擔並得申請社會救助補償	應由政府負責，此為政府對環境危害之補位責任規定	應由該土地現時之所有權人或使用人負責清理與復育	應由環境保護團體以募款方式籌措經費辦理清理復育	Where the polluter does not exist or cannot be identified, who bears responsibility?	Affected local residents bear it themselves and may apply for social relief	The government bears it, a residual state responsibility for environmental harm	The current owner or user of the land bears the cleanup and restoration duty	Environmental groups must raise donations to fund the cleanup and restoration	b	第4條第3項：前項污染者、破壞者不存在或無法確知時，應由政府負責。第31條並規定中央政府應依法律設置各種環境基金，負責環境清理、復育、追查污染源等事項，作為政府履行該責任之財源。	Article 4, paragraph 3, read with Article 31.	draft	10		
ENV-0007	ENV	ENV-21	環境基本法	第5條	民國91年12月11日	環基法-國民義務	2	環境基本法對國民課予之環境保護義務為何？	應秉持環境保護理念減輕日常生活造成之環境負荷，消費上以綠色消費為原則，生活上應進行廢棄物減量、分類及回收，並負協助政府實施相關措施之責任	應於購買商品前先向主管機關申報其碳足跡，消費上以最低價格為原則，生活上應將所有廢棄物交由回收商處理，並負繳納環境保護捐之義務	應於住宅裝設再生能源發電設備，消費上以進口環保產品為原則，生活上應自行處理廚餘與資源垃圾，並負配合主管機關檢查住宅之義務	應每年參加環境保護志工服務達四小時以上，消費上以本國產品為原則，生活上應設置家庭污水處理設施，並負向主管機關定期申報之義務	What duties does the Act place on citizens?	To reduce the environmental load of daily life, to practise green consumption, to reduce, sort and recycle waste, and to help the government implement protection measures	To declare the carbon footprint of goods before purchase, to buy at the lowest price, to hand all waste to recyclers, and to pay an environmental protection levy	To install renewable energy equipment at home, to buy imported green products, to treat food and recyclable waste at home, and to accept home inspections	To volunteer at least four hours a year for environmental service, to buy domestic goods, to install household sewage facilities, and to file periodic reports	a	第5條第1項：國民應秉持環境保護理念，減輕因日常生活造成之環境負荷；消費行為上以綠色消費為原則，日常生活上應進行廢棄物減量、分類及回收。第2項：國民應主動進行環境保護，並負有協助政府實施環境保護相關措施之責任。	Article 5, paragraphs 1 and 2.	draft	10		
ENV-0008	ENV	ENV-21	環境基本法	第6條	民國91年12月11日	環基法-事業義務	2	環境基本法對事業課予之環境保護義務為何？	應於營運後每年提出環境影響調查報告書並公開，以年度營業額為基礎提撥環境保護準備金，並負補償當地居民因開發所受損失之全部責任	應於設廠前取得當地居民過半數之書面同意，以廠區面積為基礎設置等面積之綠地，並負無過失之環境損害賠償責任而不得舉證免責	應於申請許可時繳納環境復育保證金，以員工人數為基礎設置環境保護專責單位，並負代替政府執行轄區內環境清理與監測之責任	應自規劃階段即納入環境保護理念，以生命週期為基礎促進清潔生產、預防及減少污染、節約資源、回收利用再生資源，並負協助政府實施相關措施之責任	What duties does the Act place on enterprises?	To file and publish an annual environmental investigation report after operations begin, set aside reserves based on turnover, and bear all losses residents suffer from the development	To obtain written consent from a majority of local residents before building a plant, provide green space equal to the plant area, and bear strict no-fault liability with no exculpatory defense available at all	To post a restoration bond when applying for permits, set up a dedicated environmental unit sized by headcount, and carry out cleanup and monitoring in the district for the government	To build protection into planning, promote cleaner production on a life-cycle basis, prevent pollution, save resources and recycle renewable resources, and to help the government implement measures	d	第6條第1項：事業進行活動時，應自規劃階段納入環境保護理念，以生命週期為基礎，促進清潔生產，預防及減少污染，節約資源，回收利用再生資源及其他有益於減低環境負荷之原（材）料及勞務，以達永續發展之目的。第2項：事業應有協助政府實施環境保護相關措施之責任。第13條第2項並要求事業設置環境保護專責單位或人員。	Article 6, paragraphs 1 and 2, read with Article 13, paragraph 2.	draft	10		
ENV-0009	ENV	ENV-21	環境基本法	第7條	民國91年12月11日	環基法-中央政府職責	2	中央政府依環境基本法應辦理之環境保護規劃事項為何？	應統籌全國環境保護經費之收支、代替地方政府編列環境保護預算、逐年檢討地方之稅收	應逐案審查地方政府之開發計畫、代為執行地方環境稽查、直接處分違反環保法規之事業	應設置全國統一之環境檢驗機構、代為辦理各項環境檢測、公告各地區之環境品質排名榜	應制（訂）定環境保護相關法規、策定國家環境保護計畫、建立永續發展指標並推動實施之	What planning duties does the Act give the central government?	To centralize all national environmental spending, prepare environmental budgets on behalf of local governments, and review local tax revenues each year	To review local development plans case by case, carry out local inspections in their stead, and directly sanction enterprises that break environmental rules	To set up a single national testing institute, carry out all environmental testing itself, and publish an annual ranking of environmental quality by area	To enact environmental laws and regulations, formulate the national environmental protection plan, establish sustainability indicators and implement them	d	第7條第1項：中央政府應制（訂）定環境保護相關法規，策定國家環境保護計畫，建立永續發展指標，並推動實施之。第2項規定地方政府得依該法規及國家計畫訂定自治法規及環境保護計畫。第25條並規定中央訂定階段性環境品質及管制標準。	Article 7, paragraph 1, read with Articles 7(2) and 25.	draft	10		
ENV-0010	ENV	ENV-21	環境基本法	第7條	民國91年12月11日	環基法-地方政府職責	2	地方政府依環境基本法得為何種環境保護規劃？各級政府對計畫執行狀況有何義務？中央對地方有何責任？	得視轄區內自然及社會條件之需要訂定自治法規及環境保護計畫並推動實施；各級政府應定期評估檢討執行狀況並公布之；中央政府應協助地方政府落實地方自治	得逕行訂定較中央為寬鬆之管制標準以吸引產業投資；各級政府應將執行狀況函報行政院但無須對外公布；中央政府應撥付全額經費予地方政府	得逕行變更中央所定之環境品質標準以符合地方之需要；各級政府應每五年檢討一次執行狀況但不必公布；中央政府得逕行接管地方之環境保護事務	得委託民間團體代為執行環境保護計畫之全部事項；各級政府應於計畫完成後一次檢討執行狀況並公布；中央政府得逕行撤銷地方之環境保護計畫	What may local governments do, what review duty applies, and what does the central government owe them?	They may adopt local rules and plans suited to local natural and social conditions and implement them; all governments must periodically review and publish implementation; the centre must help local self-government	They may set standards more lenient than central ones to attract investment; all governments report implementation to the Executive Yuan without publishing; the centre must fund them fully	They may vary the central environmental quality standards to suit local needs; all governments review implementation once every five years without publishing it; the centre may take over local environmental affairs	They may contract out the whole of their plans to private groups; all governments review implementation once at completion and publish it; the centre may revoke local plans directly	a	第7條第2項：地方政府得視轄區內自然及社會條件之需要，依中央法規及國家環境保護計畫訂定自治法規及環境保護計畫並推動實施。第3項：各級政府應定期評估檢討環境保護計畫之執行狀況並公布之。第4項：中央政府應協助地方政府落實地方自治，執行環境保護事務。第25條第2項另規定地方得訂較嚴之管制標準。	Article 7, paragraphs 2 to 4; compare Article 25, paragraph 2.	draft	10		
