ENV-1537	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第1條	民國100年6月24日	既存排放量認可-法源	1	既存固定污染源污染物排放量認可準則係依據哪一條文授權訂定？	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第十二條第三項規定訂定之	依空氣污染防制法第二十一條第二項規定訂定之	Under which provision are the Regulations for Recognition of Pollutant Emissions from Existing Stationary Sources adopted?	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 3 of the Air Pollution Control Act	Adopted under Article 21, Paragraph 2 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第八條第五項規定訂定。空污法第八條規範總量管制區內固定污染源排放量之認可與交易，第十二條則為分期分區公告實施總量管制之依據，兩者搭配適用。	Article 1: adopted under Article 8(5) of the Air Pollution Control Act.	draft	14		
ENV-1538	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第2條	民國100年6月24日	既存排放量認可-申請期限	2	未符合空氣品質標準之總量管制區內，公私場所具有中央主管機關指定公告之既存固定污染源者，應於何時向何機關申請排放量認可？	自地方主管機關公告空氣品質標準之日起一年內，向中央主管機關申請認可全廠（場）及個別污染源之污染物季排放量	自地方主管機關核發操作許可證之日起六個月內，向目的事業主管機關申請認可個別固定污染源之污染物月排放量	自中央主管機關公告實施總量管制之日起一年內，向地方主管機關申請認可全廠（場）及個別污染源之污染物年排放量	自中央主管機關公告實施總量管制之日起三年內，向中央主管機關申請認可全廠（場）及個別污染源之污染物年排放量	When and to whom must a premises with designated existing stationary sources apply for emission recognition?	Within one year of the local authority announcing air quality standards, apply to the central authority to recognize plant-wide and individual quarterly emissions	Within six months of the local authority issuing the operating permit, apply to the industry competent authority to recognize monthly emissions of each source	Within one year of the central authority announcing total quantity control, apply to the local authority to recognize plant-wide and individual annual emissions	Within three years of the central authority announcing total quantity control, apply to the central authority to recognize plant-wide and individual annual emissions	c	第2條第1項：應自中央主管機關依本法第十二條公告實施總量管制之日起一年內，向地方主管機關申請認可全廠（場）及個別污染源之污染物年排放量。逾期未申請者，依第5條第2項地方主管機關得逕行認可。	Article 2(1): one year from the total quantity control announcement, to the local competent authority.	draft	14		
ENV-1539	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第2條	民國100年6月24日	既存排放量認可-定義	2	本準則所稱既存固定污染源之認定基準，以及本準則適用之污染物類別為何？	指公告實施總量管制之日前已完成環境影響評估審查並於一年內開發者；適用硫氧化物、氮氧化物、揮發性有機物及臭氧等四類	指公告實施總量管制之日前已設立、已申請設置許可證或已通過環評並於三年內開發者；適用粒狀污染物、硫氧化物、氮氧化物及揮發性有機物	指公告實施總量管制之日後已設立、已申請設置許可證或已通過環評並於五年內開發者；適用粒狀污染物、硫氧化物、氮氧化物及一氧化碳	指公告實施總量管制之日前已取得操作許可證並連續運轉十年以上者；適用粒狀污染物、硫氧化物、氮氧化物、鉛及戴奧辛等五類	How are existing stationary sources defined, and which pollutants do these Regulations cover?	Sources that completed EIA review and were developed within one year before the announcement; covers SOx, NOx, VOCs and ozone as the four pollutants	Sources established, having applied for an installation permit, or EIA-approved and developed within three years, before the control announcement; covers particulates, SOx, NOx and VOCs	Sources established, having applied for an installation permit, or EIA-approved and developed within five years, after the control announcement; covers particulates, SOx, NOx and CO	Sources holding an operating permit and running continuously for over ten years before the announcement; covers particulates, SOx, NOx, lead and dioxins	b	第2條第2項：既存固定污染源指公告實施總量管制之日前已設立、已申請設置許可證或已通過環評審查且於通過三年內實施開發行為者。第3項：適用粒狀污染物、硫氧化物、氮氧化物及揮發性有機物四類。	Article 2(2)-(3): pre-announcement sources; four pollutants including particulates, SOx, NOx and VOCs.	draft	14		
ENV-1540	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第3條	民國100年6月24日	既存排放量認可-計算依據	3	地方主管機關認可各類污染物排放量之計算依據及取用年度為何？	四類污染物均依申報辦法之排放量計算方式，取申請日前十年內任一操作年度之排放量，並由中央主管機關逕行核定其年排放量	硫氧化物、氮氧化物及揮發性有機物依申報辦法計算方式，粒狀污染物依收費辦法計算方式，均取申請日前三年內完整操作年度之平均年排放量	硫氧化物、氮氧化物及揮發性有機物依收費辦法計算方式，粒狀污染物依申報辦法計算方式，均取申請日前七年內完整操作年度之最大年排放量	硫氧化物、氮氧化物及粒狀污染物均依收費辦法計算方式，揮發性有機物依環評書件內容，取申請日前五年內完整操作年度之最小年排放量	What calculation basis and reference year does the local authority use to recognize each pollutant?	All four pollutants follow the reporting regulations, taking any operating year within ten years before application, with the central authority determining the annual emissions directly	SOx, NOx and VOCs follow the reporting regulations, particulates follow the emission fee regulations; all take the average annual emission of a complete operating year within three years before application	SOx, NOx and VOCs follow the emission fee regulations, particulates follow the reporting regulations; all take the maximum annual emission of a complete operating year within seven years before application	SOx, NOx and particulates all follow the emission fee regulations and VOCs follow the EIA documents; all take the minimum annual emission of a complete operating year within five years	c	第3條第1項第1、2款：硫氧化物、氮氧化物及揮發性有機物依空氣污染防制費收費辦法計算，粒狀污染物依排放量申報管理辦法計算，均取申請日前七年內完整操作年度之最大年排放量。第3款：使用天然氣等低污染性氣體燃料而無須依收費辦法申報者，得依申報辦法申報之排放量認定。	Article 3(1): fee regulations for SOx/NOx/VOCs, reporting regulations for particulates; maximum annual emission within seven years.	draft	14		
ENV-1541	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第3條	民國100年6月24日	既存排放量認可-例外認定	3	排放量資料有疑義、操作年度不足或產能偏低時，得由地方主管機關審查認定之要件為何？	排放量資料有疑義、操作時間未達七個完整操作年度，或申請日前七年內實際最大產能未達操作許可證核定百分之八十者，得申請審查認定	排放量資料有疑義、操作時間未達三個完整操作年度，或申請日前三年內實際最大產能未達操作許可證核定百分之七十者，得申請審查認定	排放量資料有疑義、操作時間未達十個完整操作年度，或申請日前十年內實際最大產能未達操作許可證核定百分之九十者，得申請審查認定	排放量資料有疑義、操作時間未達五個完整操作年度，或申請日前五年內實際最大產能未達操作許可證核定百分之六十者，得申請審查認定	On what conditions may the local authority determine emissions case-by-case?	Data in doubt, fewer than seven complete operating years, or actual maximum capacity below 80 percent of the permitted level within the seven years before application	Data in doubt, fewer than three complete operating years, or actual maximum capacity below 70 percent of the permitted level within the three years before application	Data in doubt, fewer than ten complete operating years, or actual maximum capacity below 90 percent of the permitted level within the ten years before application	Data in doubt, fewer than five complete operating years, or actual maximum capacity below 60 percent of the permitted level within the five years before application	a	第3條第2項：資料有疑義、操作時間未達七個完整操作年度，或申請日前七年內實際最大產能未達操作許可證核定百分之八十者，得申請由地方主管機關審查認定。第3項另定已通過環評且於通過三年內開發者，得依環境影響說明書、評估書所載內容及審查結論之排放量認可。	Article 3(2): seven complete operating years, or capacity below 80 percent of the permit.	draft	14		
ENV-1542	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第4條	民國100年6月24日	既存排放量認可-申請文件	2	公私場所申請污染物排放量認可應檢具何種文件？何種情形得免附佐證資料？	應檢具申請表及最近三年檢測報告；依第三條第二項規定申請者得免附申請表，地方主管機關一律不得進行現場勘查	應檢具操作許可證影本及環評書件；經中央主管機關核准者得免附申請表，並由中央主管機關辦理必要之現場勘查	應檢具申請表及排放量相關佐證資料；依第三條第一項規定申請者得免附佐證資料，主管機關必要時得進行現場勘查	應檢具申請表及公會出具之證明文件；使用低污染性燃料者得免附全部文件，地方主管機關並應一律進行現場勘查	What documents are required, and when may supporting emission data be omitted?	An application form plus three years of test reports; those applying under Article 3(2) may omit the form, and site inspection is never permitted	A copy of the operating permit and EIA documents; those approved by the central authority may omit the form, with inspection done by the central authority	An application form and supporting emission data; Article 3(1) applicants may omit the supporting data, and site inspection may be conducted when necessary	An application form plus a certificate from the trade association; users of low-pollution fuel may omit everything, and inspection is always mandatory	c	第4條：申請應檢具申請表及排放量相關佐證資料，但依第3條第1項規定申請者得免附佐證資料；地方主管機關審查時必要得進行現場勘查。	Article 4: application form and supporting data; Article 3(1) applicants are exempt from supporting data.	draft	14		
ENV-1543	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第5條	民國100年6月24日	既存排放量認可-審查期限	2	地方主管機關審查污染物排放量認可申請之期限，以及補正日數之計算規定為何？	應於六十日內完成審查並核發認可文件；補正日數應計入審查期間，且補正總日數不得超過四十五日	應於三十日內完成審查並核發認可文件；補正日數不計入審查期間，且補正總日數不得超過一百八十日	應於九十工作日內完成審查並核發文件；補正日數不計入審查期間，且補正總日數不得超過三十日	應於四十五日內完成審查並核發認可文件；補正日數不計入審查期間，且補正總日數不得超過九十日	What is the review period and how are supplementation days counted?	Review completed within 60 days and the recognition document issued; supplementation days are included and may not exceed 45 days in total	Review completed within 30 days and the recognition document issued; supplementation days are excluded and may not exceed 180 days in total	Review completed within 90 working days and the document issued; supplementation days are excluded and may not exceed 30 days in total	Review completed within 45 days and the recognition document issued; supplementation days are excluded and may not exceed 90 days in total	d	第5條第1項：地方主管機關應於四十五日內完成審查、核發污染物排放量認可文件並通知領取；不符規定者通知限期補正，補正日數不計入審查期間，補正總日數不得超過九十日。	Article 5(1): 45 days for review; supplementation capped at 90 days and excluded from the period.	draft	14		
ENV-1544	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第5條	民國100年6月24日	既存排放量認可-逕行認可	1	公私場所未依規定申請污染物排放量認可，或未於期限內完成補正者，主管機關得如何處理？	地方主管機關應命其停工並限期重新提出申請	地方主管機關得逕行認可其污染物排放量	地方主管機關應撤銷其固定污染源操作許可證	中央主管機關得逕行認可其污染物排放量	What happens if a premises fails to apply or to supplement documents in time?	The local competent authority shall order shutdown and a fresh application	The local competent authority may directly determine its pollutant emissions	The local competent authority shall revoke its stationary source operating permit	The central competent authority may directly determine its pollutant emissions	b	第5條第2項：未依規定申請認可或未於期限內補正者，地方主管機關得逕行認可其污染物排放量。第7條就虛偽記載亦有相同之逕行認可效果。	Article 5(2): the local authority may recognize the emissions on its own initiative.	draft	14		
ENV-1545	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第6條	民國100年6月24日	既存排放量認可-文件記載	2	污染物排放量認可文件應記載之事項為何？	全廠（場）之空氣污染防制費繳納紀錄與金額；個別固定污染源之檢測報告編號及檢測日期；其他經審核機關認定應行記載之事項	全廠（場）之污染物種類、據以認可年度及排放量；個別固定污染源之污染物種類、據以認可年度及排放量；其他經地方主管機關記載事項	全廠（場）之原料使用量、產品產量及用電量；個別固定污染源之操作時數與防制設備處理效率；其他經中央主管機關指定記載之事項	公私場所負責人姓名、工廠登記證號及資本額；個別固定污染源之設置日期與設計產能規格；其他經目的事業主管機關記載之事項	What must the emission recognition document state?	Plant-wide air pollution fee payment records and amounts; each source's test report number and testing date; other items the reviewing agency deems necessary	Plant-wide pollutant types, the reference year and emissions; each source's pollutant types, reference year and emissions; other items recorded by the local authority	Plant-wide raw material use, product output and electricity use; each source's operating hours and control equipment efficiency; other items designated by the central authority	The responsible person's name, factory registration number and capital; each source's installation date and design capacity; other items recorded by the industry authority	b	第6條：認可文件應記載全廠（場）及個別固定污染源之污染物種類、據以認可之年度及其污染物排放量，並得記載其他經地方主管機關記載之事項。	Article 6: pollutant types, reference year and emissions, plant-wide and per source.	draft	14		
ENV-1546	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第7條	民國100年6月24日	既存排放量認可-虛偽記載	2	公私場所申請污染物排放量認可之文件或資料有虛偽記載者，地方主管機關應如何處理？	應撤銷原認可文件，並得逕行認可其污染物排放量	應通知限期補正，屆期未補正始得撤銷其認可文件	應廢止其操作許可證，並命於六個月內重新提出申請	應報請中央主管機關審議後，始得撤銷原認可文件	How is false information in the recognition application handled?	The original recognition document shall be revoked and emissions may be determined directly	A deadline for correction shall be given, with revocation only after failure to correct	The operating permit shall be annulled and a new application required within six months	The case must be submitted to the central authority for review before any revocation	a	第7條：申請文件或資料有虛偽記載者，地方主管機關應撤銷原認可文件，並得逕行認可污染物排放量，與第5條第2項之逕行認可規定相呼應。	Article 7: revocation of the recognition document plus direct determination of emissions.	draft	14		
ENV-1547	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第8條	民國100年6月24日	既存排放量認可-準用	1	非屬第二條第一項所定之既存固定污染源，得如何申請污染物排放量認可？	應另依收費辦法規定，向地方主管機關申報其污染物排放量	得準用本準則規定，向地方主管機關申請認可其污染物排放量	應由目的事業主管機關造冊，逕行核定其污染物年排放量	得準用本準則規定，向中央主管機關申請認可其污染物排放量	How may a source not covered by Article 2(1) obtain emission recognition?	It must instead report its emissions to the local authority under the emission fee regulations	It may apply mutatis mutandis to the local competent authority for recognition of its emissions	The industry competent authority must compile a roster and determine its annual emissions	It may apply mutatis mutandis to the central competent authority for recognition of its emissions	b	第8條：非屬第2條第1項之既存固定污染源，得準用本準則規定向地方主管機關申請認可其污染物排放量，使未強制適用者亦有取得認可之途徑。	Article 8: such sources may apply to the local authority by analogy.	draft	14		
