Q0340	OSH	OSH-34	缺氧症預防規則	第3條	民國103年6月26日	缺氧-定義	1	缺氧症預防規則所稱「缺氧」，指空氣中氧氣濃度未滿百分之多少之狀態？	百分之二十一	百分之十六	百分之十九．五	百分之十八	Under the Hypoxia Prevention Rules, 'oxygen deficiency' means an oxygen concentration below:	21%	16%	19.5%	18%	d	第3條第1款：缺氧指空氣中氧氣濃度未滿百分之十八之狀態；缺氧症指因作業場所缺氧引起之症狀。	Article 3(1): oxygen deficiency is an oxygen concentration below 18%; hypoxia refers to symptoms caused by it.	draft	3		
Q0341	OSH	OSH-34	缺氧症預防規則	第2條	民國103年6月26日	缺氧-適用	2	下列何者屬缺氧症預防規則第2條所定之缺氧危險場所？	每日開啟門窗通風之地上辦公室、會議室之內部	設有機械排氣且經常使用之地面倉庫、月台之外部	自然採光通風良好之工廠一樓組裝線、走廊之內部	長期間未使用之水井、坑井、豎坑、隧道、沈箱之內部	Which is an 'oxygen-deficiency hazardous place' under Article 2?	The interior of daily-ventilated ground-floor offices and meeting rooms	The exterior of regularly used ground-level warehouses and loading docks	The interior of naturally lit, well-ventilated factory assembly lines	The interior of long-unused wells, pits, shafts, tunnels or caissons	d	第2條列舉：長期未使用之水井坑井隧道沈箱內部、貫通特定地層之場所、地下敷設物之暗渠人孔、滯留雨水河水之槽暗渠、置放海水之熱交換器、密閉相當期間之鋼製鍋爐儲槽船艙、置放易吸氧物質之儲槽、乾性油油漆未乾之密閉空間、穀物儲存發酵倉庫、釀造設備、糞尿污水槽、乾冰冷凍庫、惰性氣體設備內部等。	Article 2 lists: long-unused wells/shafts/tunnels/caissons, places penetrating certain strata, utility manholes and culverts, tanks that held rainwater or seawater, long-sealed steel boilers/tanks/holds, storage of oxygen-absorbing materials, freshly oil-painted enclosed spaces, grain/fermentation storage, brewing vessels, sewage tanks, dry-ice refrigerators, inert-gas equipment interiors, etc.	draft	3		
Q0342	OSH	OSH-34	缺氧症預防規則	第2條	民國103年6月26日	缺氧-適用	3	密閉相當期間之鋼製鍋爐、儲槽、反應槽、船艙等內壁易於氧化之設備內部屬缺氧危險場所，但下列何種情形不在此限？	經勞動檢查機構派員檢查合格備查者	內壁為不銹鋼製品或實施防銹措施者	容量在五立方公尺以下且設有人孔者	設置於室外並每日開啟通風三十分鐘者	Long-sealed steel boilers, tanks or ship holds with easily oxidized inner walls are hazardous places, EXCEPT when:	It was inspected and approved by the labor inspection body	The inner wall is stainless steel or rust-proofed	The volume is below five cubic metres with a manhole fitted	It is outdoors and is ventilated 30 minutes each day	b	第2條第2項第6款：密閉相當期間之鋼製鍋爐、儲槽、反應槽、船艙等內壁易於氧化之設備之內部。但內壁為不銹鋼製品或實施防銹措施者，不在此限。	Article 2(2)(6): excepted when the inner wall is stainless steel or anti-rust treated.	draft	3		
Q0343	OSH	OSH-34	缺氧症預防規則	第4條	民國103年6月26日	缺氧-設施	1	雇主使勞工從事缺氧危險作業時，應置備何種儀器？	測定空氣中氧氣濃度之測定儀器	測定作業場所氣溫之溫度計	測定坑內風速之熱線風速計	測定工作面照度之照度計	For oxygen-deficiency hazardous work, the employer shall provide:	Instruments to measure oxygen concentration in the air	A thermometer for measuring workplace air temperature	A hot-wire anemometer for measuring airflow in the pit	A lux meter for measuring illumination at the work surface	a	第4條：應置備測定空氣中氧氣濃度之必要測定儀器，並採取隨時可確認空氣中氧氣濃度、硫化氫等其他有害氣體濃度之措施。	Article 4: necessary instruments to measure oxygen concentration, with measures to check oxygen and other harmful gases such as hydrogen sulfide at any time.	draft	3		
Q0344	OSH	OSH-34	缺氧症預防規則	第5條	民國103年6月26日	缺氧-設施	2	從事缺氧危險作業時應適當換氣，保持氧氣濃度在百分之十八以上；實施換氣時不得使用何種氣體？	壓縮空氣	純氧	室外空氣	過濾空氣	Ventilation must keep oxygen at 18% or above; which gas must NOT be used for ventilation?	Compressed air	Pure oxygen	Outdoor air	Filtered air	b	第5條：應予適當換氣以保持氧氣濃度在百分之十八以上（防止爆炸、氧化或作業顯著困難者除外）；實施換氣時不得使用純氧。第9條惰性氣體熔接作業亦同。	Article 5: ventilate to keep oxygen at 18% or more (except where explosion, oxidation or work difficulty prevents it); pure oxygen must not be used. Article 9 applies the same to inert-gas welding.	draft	3		
Q0345	OSH	OSH-34	缺氧症預防規則	第6條	民國103年6月26日	缺氧-設施	3	從事隧道或坑井之開鑿作業，為防止何種氣體突出導致缺氧症，應事前藉鑽探孔調查？	氬氣或一氧化氮	甲烷或二氧化碳	氮氣或二氧化硫	氦氣或二氧化氮	Before tunnel or shaft excavation, which gases must be surveyed by boreholes to prevent hypoxia from sudden outbursts?	Argon or nitrogen monoxide	Methane or carbon dioxide	Nitrogen or sulfur dioxide	Helium or nitrogen dioxide	b	第6條：為防止甲烷或二氧化碳之突出導致勞工罹患缺氧症，應於事前就作業場所及四周藉鑽探孔或其他適當方法調查，依調查結果決定處理方法、開鑿時期及程序。	Article 6: survey for methane or carbon dioxide by boreholes or other suitable methods and decide treatment, timing and procedure based on the results.	draft	3		
Q0346	OSH	OSH-34	缺氧症預防規則	第7條	民國103年6月26日	缺氧-設施	2	於地下室、機械房、船艙等通風不充分之室內置備以二氧化碳為滅火劑之滅火器時，應有何種措施？	由監視人員全程看守滅火器，並將鑰匙交由作業主管保管	預防勞工誤觸翻倒或確保把柄不易誤動之設施，並公告禁止不當操作	改設自動灑水設備取代滅火器，並每月實施一次加壓試驗	將滅火器全部移出室外存放，並於入口公告禁止攜入使用	For CO2 extinguishers in poorly ventilated basements, machine rooms or ship holds, the employer shall:	Have a watcher guard the extinguishers at all times, and give the key to the work supervisor	Prevent accidental tipping or handle actuation, and post a notice prohibiting improper operation	Replace the extinguishers with automatic sprinklers, and pressure-test the system every month	Move all extinguishers outdoors, and post a notice at the entrance prohibiting them inside	b	第7條：應有預防因勞工誤觸導致翻倒滅火器或確保把柄不易誤動之設施；禁止勞工不當操作，並將禁止規定公告於顯而易見之處所。	Article 7: facilities to prevent knocking over or accidental handle operation, prohibit improper operation, and post the prohibition conspicuously.	draft	3		
Q0347	OSH	OSH-34	缺氧症預防規則	第8條	民國103年6月26日	缺氧-設施	2	使勞工於冷藏室、冷凍室、地窖等密閉設施內部作業時，作業期間應採取何種措施？	關閉設施內之通風及照明電源	使出入口之門或蓋不致閉鎖	將出入口之門上鎖以防外人進入	於出入口外派員每小時巡視一次	When workers work inside cold rooms, freezers or cellars, during the work the employer shall:	Shut off the ventilation and lighting power inside	Keep the door or hatch from locking shut	Lock the door or hatch to keep outsiders out	Post someone outside to patrol once every hour	b	第8條：應採取該設施出入口之門或蓋等不致閉鎖之措施。但門或蓋有易自內部開啟之構造，或設施內部設有通報或警報裝置可與外部有效聯絡者，不在此限。	Article 8: prevent the entrance door or cover from locking, unless it opens easily from inside or the space has alarm/communication devices linked to the outside.	draft	3		
Q0348	OSH	OSH-34	缺氧症預防規則	第10條	民國103年6月26日	缺氧-設施	3	使勞工於設有輸送惰性氣體配管之鍋爐、儲槽等內部作業時，關閉閥、旋塞或設置盲板後，還應如何？	予以上鎖，並將其意旨公布於勞工易見之場所	保持閥門半開，並由監視人員每小時記錄一次開度	拆除該配管，並於作業結束後三日內回復原狀	以口頭告知在場勞工，並於作業日誌簽名備查	For work inside boilers or tanks with inert-gas piping, after closing valves or installing blind flanges the employer shall also:	Lock them and post the fact where workers can see it	Leave the valve half open and have a watcher log it hourly	Remove the piping and restore it within three days of the work	Tell the workers on site orally and sign the daily work log	a	第10條：應關閉輸送配管之閥、旋塞或設置盲板；於顯而易見處標示配管內惰性氣體名稱及開閉方向；關閉閥旋塞或設置盲板時應予上鎖，並將其意旨公布於勞工易見之場所。	Article 10: close valves or install blinds, label the gas name and open/close direction, lock the closure and post a notice visible to workers.	draft	3		
Q0349	OSH	OSH-34	缺氧症預防規則	第16條	民國103年6月26日	缺氧-管理	2	缺氧危險作業之氧氣及有害氣體濃度確認，應於何時實施？其紀錄保存幾年？	僅於作業結束後、每季定期檢查時實施；紀錄保存二年	每週一次、每次作業結束後及交接班前；紀錄保存一年	每月一次、更換作業主管時及設備檢修後；紀錄保存五年	當日作業開始前、所有勞工離開後再次開始前及有異常時；三年	When must oxygen and harmful-gas concentrations be checked for oxygen-deficiency work, and how long are records kept?	Only after work ends and at each quarterly inspection; records kept 2 years	Weekly, after each work session and before shift handover; records kept 1 year	Monthly, when the supervisor changes and after equipment repairs; records kept 5 years	Before daily work, before resuming after all workers leave, and on any abnormality; 3 years	d	第16條：於當日作業開始前、所有勞工離開作業場所後再次開始作業前及勞工身體或換氣裝置等有異常時，應確認氧氣、硫化氫等濃度；確認結果應予記錄並保存三年。	Article 16: check before daily start, before resuming after all workers have left, and when workers or ventilation show abnormalities; keep records 3 years.	draft	3		
