ENV-0447	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第2條	民國108年8月6日	空污專責-類別	2	空氣污染防制專責人員分為哪兩類？空氣污染防制專責人員又分為哪兩級？	固定污染源專責人員及移動污染源專責人員；第一級及第二級	室內空氣品質專責人員及噪音防制專責人員；初級及進階級	空氣污染防制專責人員及廢水處理專責人員；高級及初級	空氣污染防制專責人員及健康風險評估專責人員；甲級及乙級	Air pollution control dedicated personnel fall into which two categories, and air pollution control personnel are further graded as:	Stationary source personnel and mobile source personnel; Level 1 and Level 2	Indoor air quality personnel and noise control personnel; basic and advanced	Air pollution control personnel and wastewater treatment personnel; senior and junior	Air pollution control personnel and health risk assessment personnel; Class A and Class B	d	第2條：專責人員指空氣污染防制專責人員及健康風險評估專責人員，應由經中央主管機關訓練合格取得合格證書者擔任。第3條：空氣污染防制專責人員分甲級及乙級；設置等級依空污法第34條公告事項；專責單位至少應包括甲級二人及乙級一人。第4條：同一處所得與廢（污）水處理專責單位合併設置，具雙重資格者得互兼。	Articles 2–4; a dedicated unit needs at least two Class A and one Class B personnel.	active	8		
ENV-0451	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第5條	民國108年8月6日	空污專責-專職常駐	2	依辦法設置之空污專責人員應如何執行業務？何人得兼任乙級空氣污染防制專責人員？	不需常駐但應於主管機關稽查時到場說明，不得兼任環保法規所定其他專責人員；公私場所委外之保全服務人員	於勞基法所定工作時間內以遠端連線方式執行，得兼任環保法規以外之專責人員或從事與污染防制無關工作；未具資格之任何在職員工	於勞基法所定工作時間內常駐公私場所並專職執行，不得兼任環保法規以外之專責人員或從事與污染防制無關工作；具備資格之公私場所負責人	每週親自到場一次並於其餘時間電話待命，得兼任其他法規所定專責人員但不得從事無關工作；公私場所之會計主管人員	Dedicated air pollution personnel must work how, and who may concurrently serve as a Class B dedicated person?	Not stationed on site but appearing when inspectors call, not holding other environmental statutory posts; contracted security staff of the premises	Working remotely during Labor Standards Act working hours, allowed to hold non-environmental statutory posts or unrelated duties; any employee on the payroll without the qualification	Stationed on site full-time during Labor Standards Act working hours, not holding non-environmental statutory posts or unrelated duties; a qualified responsible person of the premises	Visiting the site once a week and on call otherwise, allowed to hold other statutory posts but not unrelated duties; the accounting supervisor of the premises	c	第5條：應於勞動基準法所定工作時間內常駐公私場所並專職執行業務，不得兼任環保法規以外其他法規所定專責（任）人員或從事其他與污染防制無關之工作；具備第2條資格之公私場所負責人（許可證登記之負責人或授權之人）得兼任乙級空污專責人員。第6條：二以上公私場所共同設置防制設備經核准得共同設置，級別不一致時以最高級別設置。第16條：因故未能常駐應備請假紀錄；半年內累積超過三十日未到職或一年內三次查獲未備紀錄者不得繼續設置，三十日內重新申請。	Articles 5–6 and 16.	active	8		
ENV-0453	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第7條	民國108年8月6日	空污專責-代理人	3	公私場所設置空污專責單位或專責人員時應同時設置幾名以上代理人？何種情形應至少二名？代理人更動應於幾日內重新申請核定？	一名以上；應設專責單位或負責人兼任乙級專責人員者；十五日內	三名以上；經主管機關指定為列管污染源之場所；七日內	二名以上；應設專責單位或負責人兼任甲級專責人員者；三十日內	不需設置；僅新設立且尚未取得操作許可證者；六十日內	Premises must appoint how many deputies when setting up dedicated units or personnel, when are two required, and deputy changes must be re-filed within:	At least one; when a dedicated unit is required or the responsible person doubles as Class B personnel; 15 days	At least three; when the premises is designated a regulated source by the competent authority; 7 days	At least two; when a dedicated unit is required or the responsible person doubles as Class A personnel; 30 days	None required; only for newly established premises with no operating permit yet; 60 days	a	第7條：應同時設置一名以上代理人；依規定應設置專責單位或負責人兼任乙級專責人員者至少二名；員額超過規定者得扣減同一類別級別代理人數；代理人應具參加同一類別及級別以上專責人員訓練資格；更動應於更動日起十五日內重新申請核定設置。第8條：申請應檢具合格證書設置申請書勞健保查詢同意書代理人學經歷證明等，採網路傳輸。第12條：得由委任之代操作營運機構派任人員設置，公私場所仍負管理之責。	Articles 7–8 and 12.	active	8		
ENV-0455	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第9條、第10條	民國108年8月6日	空污專責-離職異動	3	空污專責人員離職或異動時，公私場所應於事實發生後幾日內報請備查？代理期間不得超過多久？非因離職而未能執行業務經核准得延長至多久？	七日；六個月；一年	三十日；一個月；三個月	十五日；三個月；六個月	六十日；一年；二年	When dedicated air personnel leave or transfer, the premises must report within, deputies may act for at most, and for absences other than departure the period may be extended to:	7 days; 6 months; 1 year	30 days; 1 month; 3 months	15 days; 3 months; 6 months	60 days; 1 year; 2 years	c	第9條：離職或異動應由代理人代理並於事實發生後十五日內書面報請備查；代理期間不得超過三個月，期滿前十五日內應完成同一類別級別以上合格專責人員核定設置；專責人員應於離職異動日起三十日內書面報備；異動指調離原廠址或擔任非專責人員職務。第10條：非因離職異動而未能執行業務由代理人代理，連續達十五日以上者十五日內報備；代理不得超過三個月，經核准得延長至六個月。第11條：修正施行前已設置者六個月內完成代理人設置。	Articles 9–11.	active	8		
ENV-0459	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第13條	民國108年8月6日	空污專責-業務	2	空氣污染防制專責人員應執行之業務，下列何者正確？	受理民眾陳情並派員稽查、執行周界巡查取締、核算空氣污染防制費費額、辦理排放量申報審查、進行健康風險評估審查、辦理環境影響評估	擬定實施防制及改善計畫、監督防制設施及監測設施正常運作、擬定緊急應變措施、辦理許可證申請及申報、監督依許可證操作、擬定實施排放管道及周界檢測、監督採樣設施設置維護	編列年度環保經費預算、辦理員工勞工安全衛生教育訓練、管理事業廢棄物清運契約、監督鍋爐操作人員排班、辦理環境清潔維護、簽辦公文、保管印信	擬定實施防制及改善計畫、監督防制設施及監測設施正常運作、擬定緊急應變措施、核發固定污染源操作許可證、裁處違規行為、公告排放標準、指定應設連續自動監測之污染源	Air pollution control dedicated personnel are responsible for:	Handling public complaints and dispatching inspectors, patrolling boundaries for violations, calculating air pollution control fees, reviewing emission declarations, reviewing health risk assessments, and conducting environmental impact assessments	Drafting and implementing control and improvement plans, supervising control and monitoring equipment, emergency response measures, permit applications and reporting, compliance with permits, stack and boundary testing, and maintenance of sampling facilities	Preparing the annual environmental budget, running occupational safety training for staff, managing waste disposal contracts, scheduling boiler operators, handling site cleaning, processing paperwork, and keeping the company seal	Drafting and implementing control and improvement plans, supervising control and monitoring equipment, emergency response measures, issuing operating permits, imposing penalties, announcing emission standards, and designating sources needing continuous monitoring	b	第13條：擬定及實施空氣污染防制及改善計畫、監督空氣污染防制設施或監測設施正常運作並保存資料、擬定實施突發事故緊急應變措施、辦理固定污染源設置變更及操作許可證申請並依法申報、監督依許可證內容設置變更及操作、擬定實施排放管道及周界空氣污染物檢測並保存報告、監督採樣設施（採樣孔安全採樣平台扶梯等）之設置檢查及維護保養、其他防制工作。第14條：健康風險評估專責人員評估有害空氣污染物健康風險並執行風險管理。第15條：取得證書後連續三年以上未設置者到職翌日起六個月內完成到職訓練。	Articles 13–15.	active	8		
ENV-0466	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第18條	民國108年8月6日	空污專責-禁止行為與處罰	3	空污專責人員或代理人不得有下列何種行為？公私場所未依規定設置專責單位或人員依空污法第幾條處罰？	故意違法致有空污法第96條第1項第6款情事、同一時間設置於不同場所（共同設置除外）、使他人利用其名義虛偽設置、申報不實或文書虛偽記載；第69條第1項第1款	依規定請假並備置請假紀錄簿、參加中央主管機關辦理之在職訓練、於工作時間外加班處理申報作業、依主管機關通知到場說明；第一條第一項第一款	拒絕主管機關派員稽查、未於期限內繳納空氣污染防制費、未參加到職訓練、擅自變更許可證登載事項；第五條第一項第二款	故意違法致有空污法第96條第1項第6款情事、同一時間設置於不同場所（共同設置除外）、使他人利用其名義虛偽設置、申報不實或文書虛偽記載；第69條第2項第3款	Dedicated personnel or deputies may not, and premises failing to appoint dedicated units or personnel are penalized under which provision of the Air Pollution Control Act?	Knowingly commit violations triggering Article 96(1)(6), be registered at multiple premises at once (except joint setups), lend their name for sham appointments, or file false reports; Article 69(1)(1)	Take leave with a proper leave record, attend in-service training run by the central authority, work overtime on reporting tasks, or appear when the authority calls them; Article 1(1)(1)	Refuse inspections by the competent authority, fail to pay air pollution control fees on time, skip induction training, or alter permit entries without approval; Article 5(1)(2)	Knowingly commit violations triggering Article 96(1)(6), be registered at multiple premises at once (except joint setups), lend their name for sham appointments, or file false reports; Article 69(2)(3)	a	第18條：不得明知並有意違反本法且有第96條第1項第6款情事、同一時間設置於不同公私場所（依法共同設置除外）、使他人利用其名義虛偽設置、明知不實而申報不實或文書虛偽記載。第19條：公私場所應監督專責人員常駐專職、備請假紀錄簿保存三年、監督執行業務。第20條：未設置專責單位人員、未於十五日內重新申請代理人、未依規定執行代理報備核定、未報備到職訓練、妨礙參加在職訓練、使專責人員兼任無關工作、未備請假紀錄、未執行監督等依第69條第1項第1款處罰。第21條：專責人員一年內二次以上未常駐且未備紀錄或違反第18條者依第69條第2項處罰。第17條：不得妨礙禁止專責人員參加在職訓練。	Articles 17–21.	active	8		
ENV-0477	ENV	ENV-27	固定污染源空氣污染物排放標準	第4條	民國112年6月14日	排放標準-新舊污染源	3	固定污染源空氣污染物排放標準所稱既存污染源與新污染源如何區分？	九十年四月十一日以前設立者為既存污染源；九十年四月十二日以後設立、或設備更新或操作方法改變致增加排放潛量或排放新增污染物者為新污染源	已取得固定污染源操作許可證者為既存污染源；尚未取得許可證、或雖已取得但排放量未達應申報規模而免予列管者為新污染源	一百年一月一日以前取得操作許可證者為既存污染源；一百年一月二日以後取得許可證、或既有設備完成汰換並經主管機關備查者為新污染源	八十一年四月十一日以前設立者為既存污染源；八十一年四月十二日以後設立、或設備更新或操作方法改變致增加排放潛量或排放新增污染物者為新污染源	How does the Stationary Source Emission Standard distinguish existing from new sources?	Sources established on or before April 11, 2001 are existing; those established from April 12, 2001, or modified to increase emission potential or emit new pollutants, are new	Sources holding a stationary source operating permit are existing; those without a permit, or exempted from reporting because emissions fall below the threshold, are new	Sources permitted on or before January 1, 2011 are existing; those permitted from January 2, 2011, or whose equipment was replaced and recorded by the authority, are new	Sources established on or before April 11, 1992 are existing; those established from April 12, 1992, or modified to increase emission potential or emit new pollutants, are new	d	第2條：適用於新設立變更或既存之固定污染源，特定業別區域或設施另訂標準者優先適用。第4條：八十一年四月十一日以前設立者為既存污染源，八十一年四月十二日以後設立者及以後因設備更新或理化性操作方法改變致增加排放潛量或排放新增污染物者為新污染源；設立指已完成建造、建造中或已完成工程發包。第3條：周界指公私場所所使用或管理之界線；Nm³ 指攝氏零度（273K）一大氣壓下每立方公尺體積。	Articles 2–4.	active	8		
ENV-0478	ENV	ENV-27	固定污染源空氣污染物排放標準	第5條	民國112年6月14日	排放標準-周界測定	3	周界測定原則於何處實施？無法於周界外選定測點時得於何處？粒狀污染物及硫氧化物之周界取樣時間各為多久？	廠區中央空曠且無遮蔽之地點；緊鄰廠房牆面處；二十四小時、二十四小時（其餘氣體八小時）	公私場所周界外任何能判定由該場所排放之地點；廠界內三公尺處；一小時、一小時（其餘氣體三十分鐘）	距廠界最近之民宅或學校門口；該民宅屋頂平台；八小時、八小時（其餘氣體四小時）	公私場所排放管道出口下風處之任何地點；廠界內十公尺處；十分鐘、十分鐘（其餘氣體五分鐘）	Boundary measurements are taken where, where may they be taken when no point outside is available, and sampling times for particulates and sulfur oxides are:	At an open, unobstructed point in the center of the plant area; right against the plant building wall; 24 hours and 24 hours (8 hours for other gases)	Anywhere outside the boundary where emissions can be attributed to the premises; 3 m inside the boundary; 1 hour and 1 hour (30 minutes for other gases)	At the nearest house or school gate to the boundary; on that house's rooftop; 8 hours and 8 hours (4 hours for other gases)	Anywhere downwind of the stack outlet of the premises; 10 m inside the boundary; 10 minutes and 10 minutes (5 minutes for other gases)	b	第5條：周界測定於公私場所周界外任何能判定污染物由該場所排放之地點；周界外無法選定測點（堤防河川湖泊窪谷等）得在廠界內三公尺處選定；對周界認定有異議應於第一次被告發次日起三十日內檢具書面申請再認定。第6條：周界取樣時間粒狀污染物一小時、硫氧化物一小時、其餘氣體污染物三十分鐘為原則（測定方法明訂者從其規定）。	Articles 5–6.	active	8		
ENV-0480	ENV	ENV-27	固定污染源空氣污染物排放標準	第7條	民國112年6月14日	排放標準-排放管道高度	3	排放標準中未列排放管道排放標準之氣體污染物，低排放管道（h≦6 m）之單位時間最高許可排放量 q 如何計算？	q＝a2·b，b 為排放管道口至周界之最短水平距離	q＝25·(h－6)²，h 為排放管道口距地面之高度	q＝a2·b²，b 為排放管道口至周界之最短水平距離	q＝a2·h²，h 為排放管道口距地面之垂直高度	For gaseous pollutants without stack standards, the maximum permitted emission rate q for low stacks (h ≤ 6 m) is:	q = a2 × b, where b is the shortest horizontal distance from the stack outlet to the boundary	q = 25 × (h - 6)², where h is the height of the stack outlet above ground level	q = a2 × b², where b is the shortest horizontal distance from the stack outlet to the boundary	q = a2 × h², where h is the vertical height of the stack outlet above ground level	c	第7條：低排放管道 h≦6m 時 q＝a2·b²（b 為管道口至周界最短水平距離）；較高排放管道 h＞6m 時 b≧5(h－6) 者 q＝a2·b²（b 為管道口至周界線上垂直高度 6m 處最短距離）、b＜5(h－6) 者以管道口中心向下十二度俯角圓錐與他人建築物相交時 b 為至該建築物最短距離、無相交時 q＝a2·25·(h－6)²。第8、9條：列有排放管道排放標準者新污染源管道高度依公式計算，取較高者；主管機關處理既存污染源陳情得命改善或變更高度。第10條：採多重防制措施經核准得建低於規定高度之管道，以實際高度計算最高許可排放量。	Articles 7–10.	active	8		
ENV-0484	ENV	ENV-27	固定污染源空氣污染物排放標準	第11條	民國112年6月14日	排放標準-濃度基準	3	各種污染物之濃度計算基準為何？燃燒過程排氣含氧百分率如無特別規定以多少為參考基準？	凱氏溫度 298 度一大氣壓下未經稀釋之乾燥排氣體積；21% 氧氣	凱氏溫度 308 度一大氣壓下經稀釋之濕潤排氣體積；10% 氧氣	實測溫度及實測壓力下未經稀釋之濕潤排氣體積；不予校正	凱氏溫度 273 度一大氣壓下未經稀釋之乾燥排氣體積；6% 氧氣	Pollutant concentrations are referenced to what conditions, and combustion exhaust oxygen is normalized to what unless otherwise specified?	298 K and 1 atm, undiluted dry gas; 21% oxygen	308 K and 1 atm, diluted wet gas; 10% oxygen	Measured temperature and pressure, wet gas; no correction	273 K and 1 atm, undiluted dry gas; 6% oxygen	d	第11條：濃度計算以凱氏溫度二七三度及一大氣壓下未經稀釋之乾燥排氣體積為基準；燃燒過程排氣含氧百分率無特別規定以百分之六氧氣為參考基準，非燃燒過程以未經稀釋乾燥排氣體積計算，特定行業另有規定者從其規定；校正公式 C＝[(21－On)/(21－Os)]×Cs、Q＝[(21－Os)/(21－On)]×Qs，Os 超過 20% 以 20% 計。第12條：檢測方法及品質管制依中央主管機關規定。	Articles 11–12.	active	8		
ENV-0486	ENV	ENV-27	固定污染源空氣污染物排放標準	第13條	民國112年6月14日	排放標準-連續自動監測	3	設置連續自動監測設施之固定污染源，粒狀污染物不透光率六分鐘紀錄值高於標準之累積時間每日不得超過幾小時？氣狀污染物一小時紀錄值高於標準之累積時間不得超過幾小時？	四小時；二小時	二小時；四小時	八小時；四小時	一小時；一小時	For sources with continuous emission monitoring, daily cumulative time with 6-minute opacity readings above the standard may not exceed, and 1-hour gaseous readings above the standard may not exceed:	4 hours; 2 hours	2 hours; 4 hours	8 hours; 4 hours	1 hour; 1 hour	a	第13條：依規定設置空氣污染物連續自動監測設施者每日量測值應符合：粒狀污染物不透光率六分鐘紀錄值高於排放標準值之累積時間不得超過四小時；氣狀污染物一小時紀錄值高於排放標準值之累積時間不得超過二小時；建立粒狀污染物排放濃度與不透光率換算關係經核可者得以換算之不透光率值為標準值。第3條：影像判煙指以數位影像拍攝設備及辨識軟體判定排放口廢氣不透光率。	Article 13.	active	8		
