ENV-0490	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第2條	民國115年3月18日	空品惡化-警告等級	1	空氣品質惡化警告依污染程度區分為幾類別幾等級？各類別之等級細分為何？	預警（初級、中級）及嚴重惡化（輕度、中度、重度）二類別五等級	預警（初級、中級、高級）及嚴重惡化（輕度、重度）二類別五等級	預警（初級）及嚴重惡化（輕度、中度、重度、極重度）二類別五等級	預警（輕度、中度）及嚴重惡化（初級、中級、重度）二類別五等級	Air quality deterioration warnings are divided into how many categories and levels, and how are they subdivided?	Alert (primary, intermediate) and severe deterioration (mild, moderate, heavy): two categories, five levels	Alert (primary, intermediate, advanced) and severe deterioration (mild, heavy): two categories, five levels	Alert (primary only) and severe deterioration (mild, moderate, heavy, extreme): two categories, five levels	Alert (mild, moderate) and severe deterioration (primary, intermediate, heavy): two categories, five levels	a	第2條：空氣品質惡化警告等級依污染程度區分為預警（細分初級、中級）及嚴重惡化（細分輕度、中度或重度）二類別五等級，依懸浮微粒、細懸浮微粒、二氧化硫、二氧化氮、一氧化碳及臭氧之濃度條件依附件一判定。所稱空氣品質嚴重惡化，包含任一空氣污染物濃度達附件一所定輕度、中度或重度嚴重惡化等級者。	Article 2 sets two categories and five levels, judged against the pollutant concentrations in Annex 1.	draft	9		
ENV-0491	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第3條	民國115年3月18日	空品惡化-預報通報	2	中央主管機關空氣品質預報資料應至少每日發布幾次？第一次應於何時前發布？可能達預警或嚴重惡化等級時應於何時前通報地方？	每日至少二次；第一次於當日十二時以前發布；預報當日十七時三十分前通報地方主管機關	每日至少三次；第一次於當日六時以前發布；預報次日八時三十分前通報地方主管機關	每日至少二次；第一次於當日十五時以前發布；預報當日二十時三十分前通報地方主管機關	每日至少一次；第一次於當日八時以前發布；預報當日十二時三十分前通報地方主管機關	How often must central air quality forecasts be issued, by when is the first one, and by when must local authorities be notified?	At least twice daily; the first before 12:00 that day; local authorities notified before 17:30 on the forecast day	At least three times daily; the first before 06:00 that day; local authorities notified before 08:30 the next day	At least twice daily; the first before 15:00 that day; local authorities notified before 20:00 on the forecast day	At least once daily; the first before 08:00 that day; local authorities notified before 12:30 on the forecast day	a	第3條：中央主管機關應發布空氣品質預報資料，至少每日發布二次，且第一次應於當日十二時以前發布；預報顯示可能達預警或嚴重惡化等級者，應於預報當日十七時三十分前通報空氣品質區內各直轄市、縣（市）主管機關，地方應於公開平台或網頁登載氣象、空氣品質變化趨勢等預測資料。	Article 3: twice daily, first before noon, notification before 17:30.	draft	9		
ENV-0495	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第7條	民國115年3月18日	空品惡化-指揮中心	3	直轄市、縣（市）主管機關「應」成立空氣污染防制指揮中心之條件為何？	預報顯示隔日起轄區連續二日達中級預警或嚴重惡化；或轄區內二分之一以上測站達中級預警，或任一測站達輕度嚴重惡化以上	預報顯示隔日起轄區連續二日達初級預警等級；或轄區內四分之三以上測站達初級預警，或任一測站達重度嚴重惡化等級	預報顯示隔日起轄區連續五日達中級預警等級；或轄區內全部測站均達中級預警，或任一測站達中度嚴重惡化以上	預報顯示隔日起轄區連續三日達初級預警等級；或轄區內三分之一以上測站達中級預警，或任一測站達中度嚴重惡化以上	When must a local authority establish an air pollution control command center?	Forecast shows two consecutive days at intermediate alert or severe deterioration; or half of stations at intermediate alert, or any station at mild severe deterioration or above	Forecast shows two consecutive days at primary alert; or three quarters of stations at primary alert, or any station at heavy severe deterioration	Forecast shows five consecutive days at intermediate alert; or all stations at intermediate alert, or any station at moderate severe deterioration or above	Forecast shows three consecutive days at primary alert level; or one third of all stations at intermediate alert, or any station at moderate severe deterioration or above	a	第7條第1款第2目：應成立於預報顯示隔日起轄區空氣品質可能有連續二日達中級預警或嚴重惡化等級；或轄區內二分之一以上測站達中級預警等級，或任一測站達輕度嚴重惡化或以上等級。指揮官由地方主管機關首長或其授權之人擔任，成員包含環保、衛生、勞工、水利、農業、教育及交通等機關代表；成立時應立即通報中央主管機關。	Article 7, item 1(2).	draft	9		
ENV-0504	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第16條	民國115年3月18日	空品惡化-中央指揮中心	2	中央空氣污染防制指揮中心之成立條件及指揮官為何？	全國除連江、金門及澎湖縣外，同時有十二個以上地方主管機關成立指揮中心時成立；指揮官由經濟部部長或其授權之人擔任	全國除連江、金門及澎湖縣外，同時有九個以上地方主管機關成立指揮中心時成立；指揮官由環境部部長或其授權之人擔任	全國除連江、金門及澎湖縣外，同時有六個以上地方主管機關成立指揮中心時成立；指揮官由行政院院長或其授權之人擔任	全國除連江、金門及澎湖縣外，同時有三個以上地方主管機關成立指揮中心時成立；指揮官由各地方首長輪流擔任之	When is the central air pollution control command center established, and who commands it?	When twelve or more local authorities (excluding Lienchiang, Kinmen, Penghu) have set up command centers; commanded by the Minister of Economic Affairs or a delegate	When nine or more local authorities (excluding Lienchiang, Kinmen, Penghu) have set up command centers; commanded by the Minister of Environment or a delegate	When six or more local authorities (excluding Lienchiang, Kinmen, Penghu) have set up command centers; commanded by the Premier or a delegate	When three or more local authorities (excluding Lienchiang, Kinmen, Penghu) have set up command centers; commanded by local heads in rotation	b	第16條：當全國除連江縣、金門縣及澎湖縣以外，同時有九個以上直轄市、縣（市）主管機關成立空氣污染防制指揮中心時，中央主管機關應成立中央空氣污染防制指揮中心，協調處理跨區域污染源管制事宜；指揮官由環境部部長或其授權之人擔任，成員包含環境部、經濟部、國科會、勞動部、衛福部、教育部、交通部、農業部等機關代表。	Article 16: nine or more local command centers; Minister of Environment commands.	draft	9		
ENV-0497	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第9條	民國115年3月18日	空品惡化-警告通知	2	地方主管機關發布空氣品質預警或嚴重惡化警告時之通知方式，及發布嚴重惡化警告時應額外執行之事項為何？	以書面、傳真、電子郵件或通訊軟體通知相關單位；並協調新聞傳播媒體適時插播，至嚴重惡化警告解除為止	僅以公文郵寄方式通知相關單位；並協調新聞傳播媒體適時插播，至警告發布之當日二十四時為止	以口頭或電話方式通知相關單位即可；並協調新聞傳播媒體於警告期間每週至少插播一次相關訊息	以政府公報公告方式通知相關單位；並協調新聞傳播媒體於警告發布後三日內插播一次相關訊息	How are warnings communicated, and what extra step applies to severe deterioration warnings?	Written notice, fax, email or messaging apps; plus coordinating media inserts until the severe deterioration warning is lifted	Mailed official letters only; plus coordinating media inserts until 24:00 on the day on which the warning is issued	Oral or telephone notice suffices; plus coordinating media inserts at least once a week during the warning	Notice by government gazette; plus coordinating one media insert within three days after the warning	a	第9條：發布警告時應以書面、傳真、電子郵件或通訊軟體等方式，載明警告區域、氣象及空氣品質變化趨勢、應變防制措施、健康防護引導措施等，通知政府機關、各級學校、幼兒園、福利機構、護理機構、車站、醫院等公共場所及指定公私場所；發布嚴重惡化警告時，並應協調新聞傳播媒體適時插播至警告解除為止，及啟動通報機制。	Article 9.	draft	9		
ENV-0502	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第14條	民國115年3月18日	空品惡化-調降解除	3	空氣品質預警或嚴重惡化警告發布後，於何種條件下得調降等級？於何種條件下得解除預警警告？	濃度未達原等級且預測未來二十四小時有減緩趨勢得調降；濃度未達輕度嚴重惡化等級得解除警告	濃度未達原等級且預測未來六小時有減緩惡化趨勢得調降；濃度未達初級預警等級得解除預警警告	濃度低於原等級之半數且預測未來三小時有減緩趨勢得調降；須報經中央主管機關核准後始得解除	濃度未達原等級且預測未來十二小時有減緩惡化趨勢得調降；濃度未達中級預警等級得解除預警警告	When may a warning level be lowered, and when may the alert be lifted?	Below the original level and forecast easing within twenty-four hours to lower it; below mild severe deterioration to lift it	Below the original level and forecast easing within six hours to lower it; below primary alert level to lift it	Below half the original level and easing within three hours to lower it; central approval is required to lift it	Below the original level and forecast easing within twelve hours to lower it; below intermediate alert level to lift it	b	第14條：於空氣污染物濃度未達原預警或嚴重惡化等級，且預測未來六小時有減緩惡化趨勢，地方主管機關得調降等級；於濃度未達初級預警等級，得解除預警警告，通知相關單位停止應變防制措施，並提報執行結果送中央主管機關備查。第4條第2項則以預測未來十二小時無減緩趨勢作為發布依據。	Article 14.	draft	9		
ENV-0500	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第12條	民國115年3月18日	空品惡化-行為管制	2	地方主管機關應於每年何期間依空氣品質預報資料執行附件六之行為管制？嚴重惡化警告發布後中央應多久蒐集氣象資料一次？	每年四月至六月及九月至十一月執行行為管制；中央主管機關至少每十二小時蒐集氣象資料一次	每年全年不分月份均執行行為管制；由地方主管機關至少每二十四小時蒐集氣象資料一次	每年一月至四月及十一月至十二月執行行為管制；中央主管機關至少每三小時蒐集氣象資料一次	每年一月至三月及十月至十二月執行行為管制；中央主管機關至少每六小時蒐集氣象資料一次	During which months is behavioral control carried out, and how often must the central authority collect weather data after a severe deterioration warning?	April to June and September to November; the central authority collects weather data at least every twelve hours	All year round without distinction; the local authority collects weather data at least every twenty-four hours	January to April and November to December; the central authority collects weather data at least every three hours	January to March and October to December; the central authority collects weather data at least every six hours	d	第12條：直轄市、縣（市）主管機關應於每年一月至三月及十月至十二月，依空氣品質預報資料執行附件六之行為管制，限制相關易致空氣污染之行為。第13條：空氣品質嚴重惡化警告發布後，中央主管機關應至少每六小時蒐集氣象資料一次，並視濃度及氣象變化提供地方，以調整警告等級及警告區域。	Articles 12 and 13.	draft	9		
ENV-0509	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第3條	民國108年9月26日	固污許可-燃料許可	2	公私場所固定污染源使用生煤或指定公告燃料應申請燃料使用許可證，但何種情形不在此限？	僅使用石油煉製業煉製販售符合國家標準之石油製品，或每年總設計、實際燃料使用量低於五千公斤或五千公升者	僅使用經環境工程技師簽證之低硫燃料，或每年總設計、實際燃料使用量低於一千公斤或一千公升者	僅使用經目的事業主管機關核准之進口燃料，或每年總設計、實際燃料使用量低於一百公斤或一百公升者	僅使用石油煉製業煉製販售符合國家標準之石油製品，或每年總設計、實際燃料使用量低於五百公斤或五百公升者	Which situation exempts a source from applying for a fuel use permit?	Using only national-standard petroleum products refined and sold by refiners, or annual design or actual fuel use below 5,000 kg or 5,000 liters	Using only low-sulfur fuel certified by an environmental engineer, or annual design or actual fuel use below 1,000 kg or 1,000 liters	Using only imported fuel approved by the industry competent authority, or annual design or actual fuel use below 100 kg or 100 liters	Using only national-standard petroleum products refined and sold by refiners, or annual design or actual fuel use below 500 kg or 500 liters	d	第3條：使用生煤或其他依空污法第28條第1項指定公告之燃料應申請燃料使用許可證，但僅使用石油煉製業煉製販售符合國家標準之石油製品，或每年總設計、實際燃料使用量低於五百公斤或五百公升者，不在此限。第26條：領有燃料使用許可證者應於每年一、四、七、十月底前申報前季燃料使用量。	Article 3.	draft	9		
ENV-0510	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第4條	民國108年9月26日	固污許可-變更認定	3	空污法第24條所稱固定污染源之「變更」，其排放量門檻為何？	任一污染物年排放量推估較許可證記載增加達百分之十及一公噸以上；或氮氧化物達十公噸、硫氧化物達五公噸、揮發性有機物達十公噸、粒狀物達五公噸以上	任一污染物年排放量推估較許可證記載增加達百分之三十及十公噸以上；或氮氧化物達二公噸、硫氧化物達二公噸、揮發性有機物達二公噸、粒狀物達二公噸以上	任一污染物年排放量推估較許可證記載增加達百分之五及零點五公噸以上；或氮氧化物達一公噸、硫氧化物達一公噸、揮發性有機物達一公噸、粒狀物達一公噸以上	任一污染物年排放量推估較許可證記載增加達百分之二十及五公噸以上；或氮氧化物達五公噸、硫氧化物達十公噸、揮發性有機物達五公噸、粒狀物達十公噸以上	What emission thresholds define a modification under Article 24 of the Act?	Any pollutant increasing by 10 percent and 1 tonne or more over the permitted annual amount; or NOx 10 t, SOx 5 t, VOC 10 t, particulates 5 t or more	Any pollutant increasing by 30 percent and 10 tonnes or more over the permitted annual amount; or NOx 2 t, SOx 2 t, VOC 2 t, particulates 2 t or more	Any pollutant increasing by 5 percent and 0.5 tonne or more over the permitted annual amount; or NOx 1 t, SOx 1 t, VOC 1 t, particulates 1 t or more	Any pollutant increasing by 20 percent and 5 tonnes or more over the permitted annual amount; or NOx 5 t, SOx 10 t, VOC 5 t, particulates 10 t or more	d	第4條：所稱變更指設備更換或擴增、製程、原（物）料、燃料或產品改變，致增加空氣污染物排放種類；或任一污染物年排放量推估較許可證記載之年許可排放量增加達百分之二十及五公噸以上；或增加達氮氧化物五公噸、硫氧化物十公噸、揮發性有機物五公噸、粒狀物十公噸以上者。因增設空氣污染防制設施而致增加者，得依操作許可證異動程序辦理。	Article 4.	draft	9		
ENV-0515	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第9條	民國108年9月26日	固污許可-容許差值	2	許可證記載之各項許可條件或數值得有多少容許差值？試車或檢測時主要原（物）料及燃料使用量未達申請量百分之八十者應如何核定操作條件？	得有百分之十五容許差值；以申請書所載之最大設計量作為操作許可證之核定內容	得有百分之五容許差值；以試車或檢測時實際操作條件之二倍作為操作許可證之核定內容	得有百分之二十容許差值；以試車或檢測時實際操作條件之一點五倍作為操作許可證核定內容	得有百分之十容許差值；以試車或檢測時實際操作條件之一點二倍作為操作許可證核定內容	What tolerance applies to permit values, and how are operating conditions set when test-run usage is below 80 percent of the application?	A 15 percent tolerance; operating conditions set at the maximum design capacity in the application	A 5 percent tolerance; operating conditions set at 2 times the actual test-run conditions	A 20 percent tolerance; operating conditions set at 1.5 times the actual test-run conditions	A 10 percent tolerance; operating conditions set at 1.2 times the actual test-run conditions	d	第9條：許可證記載之各項許可條件或數值，於未超過防制設施最大處理容量且符合排放標準及相關管制規定者，得有百分之十之容許差值。第41條：主要原（物）料及燃料使用量達申請之百分之八十以上者，依申請內容核定；無法達百分之八十以上者，應以試車或檢測時實際操作條件之一點二倍作為核定內容。	Articles 9 and 41.	draft	9		
ENV-0526	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第20條	民國108年9月26日	固污許可-試車期限	3	公私場所接到空氣污染物排放檢測通知後應於幾日內完成檢測？核准試車期限上限及含展延之試車總日數上限各為何？	接到通知後十五日內完成檢測；核准試車期限不得超過九十日；含展延之試車總日數不得超過一百八十日	接到通知後九十日內完成檢測；核准試車期限不得超過一百五十日；含展延之試車總日數不得超過三百日	接到通知後六十日內完成檢測；核准試車期限不得超過一百日；含展延之試車總日數不得超過一百九十日	接到通知後三十日內完成檢測；核准試車期限不得超過六十日；含展延之試車總日數不得超過一百二十日	Deadlines for completing emission testing, the approved test-run period, and total test-run days with extensions:	Testing within 15 days of notice; approved test run up to 90 days; total test-run days up to 180	Testing within 90 days of notice; approved test run up to 150 days; total test-run days up to 300	Testing within 60 days of notice; approved test run up to 100 days; total test-run days up to 190	Testing within 30 days of notice; approved test run up to 60 days; total test-run days up to 120	c	第20條：接到試車通知者應依試車計畫書完成試車，並於核准試車期限屆滿前十五日內提送檢測報告；接到空氣污染物排放檢測通知者，應於六十日內完成檢測。核准試車期限不得超過一百日，展延申請次數不得超過二次，且含原核准期限之試車總日數不得超過一百九十日。第33條：審核機關應於收到檢測報告後十五日內完成審查，必要時得延長十日。	Article 20.	draft	9		
